Cer_AS,[M-H]-,[M-O-H]-,[M-CO-3H]-,[M-CO-O-H]-,[Sph-3H]-,[Sph-O-3H]-,[FA+O-H]-,[FA+N-H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer_AS(d16:1/21:4)-H,586.48405,568.47355,554.45785,538.46295,268.22875,252.23385,333.24405,332.26005,240.23385,315.23355,211.20725,209.19165,287.23855
Cer_AS(d16:1/22:0)-H,608.56235,590.55175,576.53615,560.54115,268.22875,252.23385,355.32235,354.33835,240.23385,337.31175,211.20725,209.19165,309.31685
Cer_AS(d16:1/22:1)-H,606.54665,588.53615,574.52045,558.52555,268.22875,252.23385,353.30665,352.32265,240.23385,335.29615,211.20725,209.19165,307.30115
Cer_AS(d16:1/22:2)-H,604.53105,586.52045,572.50485,556.50985,268.22875,252.23385,351.29105,350.30705,240.23385,333.28045,211.20725,209.19165,305.28555
Cer_AS(d16:1/22:3)-H,602.51535,584.50485,570.48915,554.49425,268.22875,252.23385,349.27535,348.29135,240.23385,331.26485,211.20725,209.19165,303.26985
Cer_AS(d16:1/22:4)-H,600.49975,582.48915,568.47355,552.47855,268.22875,252.23385,347.25975,346.27565,240.23385,329.24915,211.20725,209.19165,301.25425
Cer_AS(d16:1/23:0)-H,622.57805,604.56745,590.55175,574.55685,268.22875,252.23385,369.33795,368.35395,240.23385,351.32745,211.20725,209.19165,323.33245
Cer_AS(d16:1/23:1)-H,620.56235,602.55175,588.53615,572.54115,268.22875,252.23385,367.32235,366.33835,240.23385,349.31175,211.20725,209.19165,321.31685
Cer_AS(d16:1/23:2)-H,618.54665,600.53615,586.52045,570.52555,268.22875,252.23385,365.30665,364.32265,240.23385,347.29615,211.20725,209.19165,319.30115
Cer_AS(d16:1/23:3)-H,616.53105,598.52045,584.50485,568.50985,268.22875,252.23385,363.29105,362.30705,240.23385,345.28045,211.20725,209.19165,317.28555
Cer_AS(d16:1/23:4)-H,614.51535,596.50485,582.48915,566.49425,268.22875,252.23385,361.27535,360.29135,240.23385,343.26485,211.20725,209.19165,315.26985
Cer_AS(d16:1/24:0)-H,636.59365,618.58305,604.56745,588.57255,268.22875,252.23385,383.35365,382.36955,240.23385,365.34305,211.20725,209.19165,337.34815
Cer_AS(d16:1/24:1)-H,634.57805,616.56745,602.55175,586.55685,268.22875,252.23385,381.33795,380.35395,240.23385,363.32745,211.20725,209.19165,335.33245
Cer_AS(d16:1/24:2)-H,632.56235,614.55175,600.53615,584.54115,268.22875,252.23385,379.32235,378.33835,240.23385,361.31175,211.20725,209.19165,333.31685
Cer_AS(d16:1/24:3)-H,630.54665,612.53615,598.52045,582.52555,268.22875,252.23385,377.30665,376.32265,240.23385,359.29615,211.20725,209.19165,331.30115
Cer_AS(d16:1/24:4)-H,628.53105,610.52045,596.50485,580.50985,268.22875,252.23385,375.29105,374.30705,240.23385,357.28045,211.20725,209.19165,329.28555
Cer_AS(d16:1/25:0)-H,650.60935,632.59865,618.58305,602.58815,268.22875,252.23385,397.36925,396.38525,240.23385,379.35875,211.20725,209.19165,351.36385
Cer_AS(d16:1/25:1)-H,648.59365,630.58305,616.56745,600.57255,268.22875,252.23385,395.35365,394.36955,240.23385,377.34305,211.20725,209.19165,349.34815
Cer_AS(d16:1/25:2)-H,646.57805,628.56745,614.55175,598.55685,268.22875,252.23385,393.33795,392.35395,240.23385,375.32745,211.20725,209.19165,347.33245
Cer_AS(d16:1/25:3)-H,644.56235,626.55175,612.53615,596.54115,268.22875,252.23385,391.32235,390.33835,240.23385,373.31175,211.20725,209.19165,345.31685
Cer_AS(d16:1/25:4)-H,642.54665,624.53615,610.52045,594.52555,268.22875,252.23385,389.30665,388.32265,240.23385,371.29615,211.20725,209.19165,343.30115
Cer_AS(d16:1/26:0)-H,664.62495,646.61435,632.59865,616.60385,268.22875,252.23385,411.38495,410.40095,240.23385,393.37435,211.20725,209.19165,365.37945
Cer_AS(d16:1/26:1)-H,662.60935,644.59865,630.58305,614.58815,268.22875,252.23385,409.36925,408.38525,240.23385,391.35875,211.20725,209.19165,363.36385
Cer_AS(d16:1/26:2)-H,660.59365,642.58305,628.56745,612.57255,268.22875,252.23385,407.35365,406.36955,240.23385,389.34305,211.20725,209.19165,361.34815
Cer_AS(d16:1/26:3)-H,658.57805,640.56745,626.55175,610.55685,268.22875,252.23385,405.33795,404.35395,240.23385,387.32745,211.20725,209.19165,359.33245
Cer_AS(d16:1/26:4)-H,656.56235,638.55175,624.53615,608.54115,268.22875,252.23385,403.32235,402.33835,240.23385,385.31175,211.20725,209.19165,357.31685
Cer_AS(d16:1/27:0)-H,678.64055,660.63005,646.61435,630.61945,268.22875,252.23385,425.40055,424.41655,240.23385,407.39005,211.20725,209.19165,379.39505
Cer_AS(d16:1/27:1)-H,676.62495,658.61435,644.59865,628.60385,268.22875,252.23385,423.38495,422.40095,240.23385,405.37435,211.20725,209.19165,377.37945
Cer_AS(d16:1/27:2)-H,674.60935,656.59865,642.58305,626.58815,268.22875,252.23385,421.36925,420.38525,240.23385,403.35875,211.20725,209.19165,375.36385
