Cer_BS,[M-H]-,[M-H2O-H]-,[Sph+C2H2O-H]-,[Sph+C-H]-,[Sph-H5NO-H]-,[Sph-C2H7NO-H]-
Cer_BS(d16:2/25:3)-H,642.54665,642.54665,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/25:4)-H,640.53105,640.53105,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/26:0)-H,662.60935,662.60935,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/26:1)-H,660.59365,660.59365,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/26:2)-H,658.57805,658.57805,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/26:3)-H,656.56235,656.56235,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/26:4)-H,654.54665,654.54665,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/27:0)-H,676.62495,676.62495,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/27:1)-H,674.60935,674.60935,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/27:2)-H,672.59365,672.59365,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/27:3)-H,670.57805,670.57805,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/27:4)-H,668.56235,668.56235,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/28:0)-H,690.64055,690.64055,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/28:1)-H,688.62495,688.62495,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/28:2)-H,686.60935,686.60935,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/28:3)-H,684.59365,684.59365,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/28:4)-H,682.57805,682.57805,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/29:0)-H,704.65625,704.65625,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/29:1)-H,702.64055,702.64055,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/29:2)-H,700.62495,700.62495,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/29:3)-H,698.60935,698.60935,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/29:4)-H,696.59365,696.59365,310.23935,278.21315,268.22875,207.17595
