Plasmenyl-PC,[M+C2H3O2]-,NL_CH3&C2H3O2,NL_Choline&C2H3O2,NL_T2Ketene&CH3&C2H3O2,NL_T2RCOOH&CH3&C2H3O2,NL_T2RCOOH_Choline_C2H3O2,GlyceroPC_NLCH3&H2O,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmenyl-PC(P-16:0/20:5)+C2H3O2,822.5655,748.52872,677.45522,464.31465,446.30409,375.2306,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/21:0)+C2H3O2,846.6594,772.62262,701.54912,464.31465,446.30409,375.2306,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:0)+C2H3O2,860.675,786.63822,715.56472,464.31465,446.30409,375.2306,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:1)+C2H3O2,858.6594,784.62262,713.54912,464.31465,446.30409,375.2306,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:2)+C2H3O2,856.6437,782.60692,711.53342,464.31465,446.30409,375.2306,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:3)+C2H3O2,854.6281,780.59132,709.51782,464.31465,446.30409,375.2306,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:4)+C2H3O2,852.6124,778.57562,707.50212,464.31465,446.30409,375.2306,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:5)+C2H3O2,850.5968,776.56002,705.48652,464.31465,446.30409,375.2306,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/22:6)+C2H3O2,848.5811,774.54432,703.47082,464.31465,446.30409,375.2306,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/23:0)+C2H3O2,874.6907,800.65392,729.58042,464.31465,446.30409,375.2306,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/24:0)+C2H3O2,888.7063,814.66952,743.59602,464.31465,446.30409,375.2306,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/24:1)+C2H3O2,886.6907,812.65392,741.58042,464.31465,446.30409,375.2306,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/25:0)+C2H3O2,902.722,828.68522,757.61172,464.31465,446.30409,375.2306,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/26:0)+C2H3O2,916.7376,842.70082,771.62732,464.31465,446.30409,375.2306,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:0/8:0)+C2H3O2,664.4559,590.41912,519.34562,464.31465,446.30409,375.2306,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/10:0)+C2H3O2,690.4716,616.43482,545.36132,462.29905,444.28849,373.215,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/12:0)+C2H3O2,718.5029,644.46612,573.39262,462.29905,444.28849,373.215,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/13:0)+C2H3O2,732.5186,658.48182,587.40832,462.29905,444.28849,373.215,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/14:0)+C2H3O2,746.5342,672.49742,601.42392,462.29905,444.28849,373.215,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/14:1)+C2H3O2,744.5186,670.48182,599.40832,462.29905,444.28849,373.215,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/15:0)+C2H3O2,760.5499,686.51312,615.43962,462.29905,444.28849,373.215,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/15:1)+C2H3O2,758.5342,684.49742,613.42392,462.29905,444.28849,373.215,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/16:0)+C2H3O2,774.5655,700.52872,629.45522,462.29905,444.28849,373.215,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/16:1)+C2H3O2,772.5499,698.51312,627.43962,462.29905,444.28849,373.215,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/17:0)+C2H3O2,788.5812,714.54442,643.47092,462.29905,444.28849,373.215,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/17:1)+C2H3O2,786.5655,712.52872,641.45522,462.29905,444.28849,373.215,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/17:2)+C2H3O2,784.5499,710.51312,639.43962,462.29905,444.28849,373.215,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:0)+C2H3O2,802.5968,728.56002,657.48652,462.29905,444.28849,373.215,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:1)+C2H3O2,800.5812,726.54442,655.47092,462.29905,444.28849,373.215,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:2)+C2H3O2,798.5655,724.52872,653.45522,462.29905,444.28849,373.215,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:3)+C2H3O2,796.5499,722.51312,651.43962,462.29905,444.28849,373.215,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/18:4)+C2H3O2,794.5342,720.49742,649.42392,462.29905,444.28849,373.215,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/19:0)+C2H3O2,816.6125,742.57572,671.50222,462.29905,444.28849,373.215,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmenyl-PC(P-16:1/20:0)+C2H3O2,830.6281,756.59132,685.51782,462.29905,444.28849,373.215,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
