Cer_AP,[M+HCO2]-,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer_AP(t16:0/26:3)+HCO2,722.59405,676.58855,460.37905,405.33795,359.33245,197.19055
Cer_AP(t16:0/26:4)+HCO2,720.57835,674.57285,458.36345,403.32235,357.31685,197.19055
Cer_AP(t16:0/27:0)+HCO2,742.65665,696.65115,480.44165,425.40055,379.39505,197.19055
Cer_AP(t16:0/27:1)+HCO2,740.64095,694.63545,478.42605,423.38495,377.37945,197.19055
Cer_AP(t16:0/27:2)+HCO2,738.62535,692.61985,476.41045,421.36925,375.36385,197.19055
Cer_AP(t16:0/27:3)+HCO2,736.60965,690.60415,474.39475,419.35365,373.34815,197.19055
Cer_AP(t16:0/27:4)+HCO2,734.59405,688.58855,472.37905,417.33795,371.33245,197.19055
Cer_AP(t16:0/28:0)+HCO2,756.67235,710.66685,494.45735,439.41625,393.41075,197.19055
Cer_AP(t16:0/28:1)+HCO2,754.65665,708.65115,492.44165,437.40055,391.39505,197.19055
Cer_AP(t16:0/28:2)+HCO2,752.64095,706.63545,490.42605,435.38495,389.37945,197.19055
Cer_AP(t16:0/28:3)+HCO2,750.62535,704.61985,488.41045,433.36925,387.36385,197.19055
Cer_AP(t16:0/28:4)+HCO2,748.60965,702.60415,486.39475,431.35365,385.34815,197.19055
Cer_AP(t16:0/29:0)+HCO2,770.68795,724.68245,508.47295,453.43185,407.42635,197.19055
Cer_AP(t16:0/29:1)+HCO2,768.67235,722.66685,506.45735,451.41625,405.41075,197.19055
Cer_AP(t16:0/29:2)+HCO2,766.65665,720.65115,504.44165,449.40055,403.39505,197.19055
Cer_AP(t16:0/29:3)+HCO2,764.64095,718.63545,502.42605,447.38495,401.37945,197.19055
Cer_AP(t16:0/29:4)+HCO2,762.62535,716.61985,500.41045,445.36925,399.36385,197.19055
Cer_AP(t16:0/30:0)+HCO2,784.70355,738.69815,522.48865,467.44755,421.44205,197.19055
Cer_AP(t16:0/30:1)+HCO2,782.68795,736.68245,520.47295,465.43185,419.42635,197.19055
Cer_AP(t16:0/30:2)+HCO2,780.67235,734.66685,518.45735,463.41625,417.41075,197.19055
Cer_AP(t16:0/30:3)+HCO2,778.65665,732.65115,516.44175,461.40055,415.39505,197.19055
Cer_AP(t16:0/30:4)+HCO2,776.64095,730.63545,514.42605,459.38495,413.37945,197.19055
Cer_AP(t16:0/31:0)+HCO2,798.71925,752.71375,536.50425,481.46315,435.45775,197.19055
Cer_AP(t16:0/31:1)+HCO2,796.70355,750.69815,534.48865,479.44755,433.44205,197.19055
Cer_AP(t16:0/31:2)+HCO2,794.68795,748.68245,532.47295,477.43185,431.42635,197.19055
Cer_AP(t16:0/31:3)+HCO2,792.67235,746.66685,530.45735,475.41625,429.41075,197.19055
Cer_AP(t16:0/31:4)+HCO2,790.65665,744.65115,528.44175,473.40055,427.39505,197.19055
Cer_AP(t16:0/32:0)+HCO2,812.73485,766.72945,550.51995,495.47885,449.47335,197.19055
Cer_AP(t16:0/32:1)+HCO2,810.71925,764.71375,548.50425,493.46315,447.45775,197.19055
Cer_AP(t16:0/32:2)+HCO2,808.70355,762.69815,546.48865,491.44755,445.44205,197.19055
Cer_AP(t16:0/32:3)+HCO2,806.68795,760.68245,544.47295,489.43185,443.42635,197.19055
Cer_AP(t16:0/32:4)+HCO2,804.67235,758.66685,542.45735,487.41625,441.41075,197.19055
Cer_AP(t16:0/33:0)+HCO2,826.75055,780.74505,564.53555,509.49445,463.48895,197.19055
Cer_AP(t16:0/33:1)+HCO2,824.73485,778.72945,562.51995,507.47885,461.47335,197.19055
Cer_AP(t16:0/33:2)+HCO2,822.71925,776.71375,560.50425,505.46315,459.45775,197.19055
Cer_AP(t16:0/33:3)+HCO2,820.70355,774.69815,558.48865,503.44755,457.44205,197.19055
Cer_AP(t16:0/33:4)+HCO2,818.68795,772.68245,556.47295,501.43185,455.42635,197.19055
Cer_AP(t16:0/34:0)+HCO2,840.76615,794.76065,578.55125,523.51015,477.50465,197.19055
Cer_AP(t16:0/34:1)+HCO2,838.75055,792.74505,576.53555,521.49455,475.48895,197.19055
Cer_AP(t16:0/34:2)+HCO2,836.73485,790.72945,574.51995,519.47885,473.47335,197.19055
Cer_AP(t16:0/34:3)+HCO2,834.71925,788.71375,572.50425,517.46315,471.45775,197.19055
Cer_AP(t16:0/34:4)+HCO2,832.70355,786.69815,570.48865,515.44755,469.44205,197.19055
Cer_AP(t16:0/35:0)+HCO2,854.78185,808.77635,592.56685,537.52575,491.52025,197.19055
Cer_AP(t16:0/35:1)+HCO2,852.76615,806.76065,590.55125,535.51015,489.50465,197.19055
Cer_AP(t16:0/35:2)+HCO2,850.75055,804.74505,588.53555,533.49455,487.48895,197.19055
Cer_AP(t16:0/35:3)+HCO2,848.73485,802.72945,586.51995,531.47885,485.47335,197.19055
Cer_AP(t16:0/35:4)+HCO2,846.71925,800.71375,584.50425,529.46315,483.45775,197.19055
