Cer_BS,[M+HCO2]-,[M-H]-,[M-H2O-H]-,[Sph+C2H2O-H]-,[Sph+C-H]-,[Sph-H5NO-H]-,[Sph-C2H7NO-H]-
Cer_BS(d16:2/14:0)+HCO2,540.42695,494.42145,494.42145,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/14:1)+HCO2,538.41135,492.40585,492.40585,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/14:2)+HCO2,536.39565,490.39015,490.39015,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/14:3)+HCO2,534.38005,488.37455,488.37455,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/15:0)+HCO2,554.44265,508.43715,508.43715,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/15:1)+HCO2,552.42695,506.42145,506.42145,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/15:2)+HCO2,550.41135,504.40585,504.40585,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/15:3)+HCO2,548.39565,502.39015,502.39015,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/16:0)+HCO2,568.45825,522.45285,522.45285,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/16:1)+HCO2,566.44265,520.43715,520.43715,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/16:2)+HCO2,564.42695,518.42155,518.42155,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/16:3)+HCO2,562.41135,516.40585,516.40585,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/16:4)+HCO2,560.39565,514.39015,514.39015,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/17:0)+HCO2,582.47395,536.46845,536.46845,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/17:1)+HCO2,580.45825,534.45285,534.45285,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/17:2)+HCO2,578.44265,532.43715,532.43715,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/17:3)+HCO2,576.42695,530.42155,530.42155,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/18:0)+HCO2,596.48955,550.48405,550.48405,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/18:1)+HCO2,594.47395,548.46845,548.46845,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/18:2)+HCO2,592.45825,546.45285,546.45285,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/18:3)+HCO2,590.44265,544.43715,544.43715,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/18:4)+HCO2,588.42695,542.42155,542.42155,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/19:0)+HCO2,610.50515,564.49975,564.49975,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/19:1)+HCO2,608.48955,562.48405,562.48405,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/19:2)+HCO2,606.47395,560.46845,560.46845,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/19:3)+HCO2,604.45825,558.45285,558.45285,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/19:4)+HCO2,602.44265,556.43715,556.43715,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/20:0)+HCO2,624.52085,578.51535,578.51535,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/20:1)+HCO2,622.50515,576.49975,576.49975,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/20:2)+HCO2,620.48955,574.48405,574.48405,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/20:3)+HCO2,618.47395,572.46845,572.46845,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/20:4)+HCO2,616.45825,570.45285,570.45285,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/21:0)+HCO2,638.53645,592.53105,592.53105,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/21:1)+HCO2,636.52085,590.51535,590.51535,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/21:2)+HCO2,634.50515,588.49975,588.49975,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/21:3)+HCO2,632.48955,586.48405,586.48405,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/21:4)+HCO2,630.47395,584.46845,584.46845,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/22:0)+HCO2,652.55215,606.54665,606.54665,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/22:1)+HCO2,650.53645,604.53105,604.53105,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/22:2)+HCO2,648.52085,602.51535,602.51535,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/22:3)+HCO2,646.50515,600.49975,600.49975,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/22:4)+HCO2,644.48955,598.48405,598.48405,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/23:0)+HCO2,666.56785,620.56235,620.56235,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/23:1)+HCO2,664.55215,618.54665,618.54665,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/23:2)+HCO2,662.53645,616.53105,616.53105,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/23:3)+HCO2,660.52085,614.51535,614.51535,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/23:4)+HCO2,658.50515,612.49975,612.49975,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/24:0)+HCO2,680.58345,634.57805,634.57805,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/24:1)+HCO2,678.56785,632.56235,632.56235,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/24:2)+HCO2,676.55215,630.54665,630.54665,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/24:3)+HCO2,674.53645,628.53105,628.53105,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/24:4)+HCO2,672.52085,626.51535,626.51535,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/25:0)+HCO2,694.59915,648.59365,648.59365,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/25:1)+HCO2,692.58345,646.57805,646.57805,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/25:2)+HCO2,690.56785,644.56235,644.56235,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/25:3)+HCO2,688.55215,642.54665,642.54665,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/25:4)+HCO2,686.53645,640.53105,640.53105,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/26:0)+HCO2,708.61475,662.60935,662.60935,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/26:1)+HCO2,706.59915,660.59365,660.59365,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/26:2)+HCO2,704.58345,658.57805,658.57805,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/26:3)+HCO2,702.56785,656.56235,656.56235,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/26:4)+HCO2,700.55215,654.54665,654.54665,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/27:0)+HCO2,722.63045,676.62495,676.62495,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/27:1)+HCO2,720.61475,674.60935,674.60935,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/27:2)+HCO2,718.59915,672.59365,672.59365,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/27:3)+HCO2,716.58345,670.57805,670.57805,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/27:4)+HCO2,714.56785,668.56235,668.56235,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/28:0)+HCO2,736.64605,690.64055,690.64055,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/28:1)+HCO2,734.63045,688.62495,688.62495,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/28:2)+HCO2,732.61475,686.60935,686.60935,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/28:3)+HCO2,730.59915,684.59365,684.59365,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/28:4)+HCO2,728.58345,682.57805,682.57805,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/29:0)+HCO2,750.66165,704.65625,704.65625,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/29:1)+HCO2,748.64605,702.64055,702.64055,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/29:2)+HCO2,746.63045,700.62495,700.62495,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/29:3)+HCO2,744.61475,698.60935,698.60935,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/29:4)+HCO2,742.59915,696.59365,696.59365,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/30:0)+HCO2,764.67735,718.67185,718.67185,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/30:1)+HCO2,762.66165,716.65625,716.65625,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/30:2)+HCO2,760.64605,714.64055,714.64055,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/30:3)+HCO2,758.63045,712.62495,712.62495,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/30:4)+HCO2,756.61475,710.60935,710.60935,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/31:0)+HCO2,778.69295,732.68755,732.68755,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/31:1)+HCO2,776.67735,730.67185,730.67185,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/31:2)+HCO2,774.66165,728.65625,728.65625,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/31:3)+HCO2,772.64605,726.64055,726.64055,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/31:4)+HCO2,770.63045,724.62495,724.62495,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/32:0)+HCO2,792.70865,746.70315,746.70315,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/32:1)+HCO2,790.69295,744.68755,744.68755,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/32:2)+HCO2,788.67735,742.67185,742.67185,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/32:3)+HCO2,786.66165,740.65625,740.65625,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/32:4)+HCO2,784.64605,738.64055,738.64055,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/33:0)+HCO2,806.72435,760.71885,760.71885,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/33:1)+HCO2,804.70865,758.70315,758.70315,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/33:2)+HCO2,802.69295,756.68755,756.68755,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/33:3)+HCO2,800.67735,754.67185,754.67185,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/33:4)+HCO2,798.66165,752.65625,752.65625,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/34:0)+HCO2,820.73995,774.73445,774.73445,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/34:1)+HCO2,818.72435,772.71885,772.71885,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/34:2)+HCO2,816.70865,770.70315,770.70315,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/34:3)+HCO2,814.69295,768.68755,768.68755,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/34:4)+HCO2,812.67735,766.67185,766.67185,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/35:0)+HCO2,834.75565,788.75015,788.75015,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/35:1)+HCO2,832.73995,786.73445,786.73445,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/35:2)+HCO2,830.72435,784.71885,784.71885,310.23935,278.21315,268.22875,207.17595
Cer_BS(d16:2/35:3)+HCO2,828.70865,782.70315,782.70315,310.23935,278.21315,268.22875,207.17595
