Cer_ADS,[M-H]-,[M-O-H]-,[M-CO-H]-,[M-CO-O-H]-,[Sph-H]-,[Sph+C=O-3H]-,[Sph-O-H]-,[Sph+C=O-O-3H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer_ADS(d17:0/24:2)-H,648.59365,630.58305,616.56745,600.57255,286.27565,404.35345,268.26515,386.34285,254.24945,361.31175,225.22295,333.31685
Cer_ADS(d17:0/24:3)-H,646.57805,628.56745,614.55175,598.55685,286.27565,402.33775,268.26515,384.32725,254.24945,359.29615,225.22295,331.30115
Cer_ADS(d17:0/24:4)-H,644.56235,626.55175,612.53615,596.54115,286.27565,400.32215,268.26515,382.31155,254.24945,357.28045,225.22295,329.28555
Cer_ADS(d17:0/25:0)-H,666.64055,648.63005,634.61435,618.61945,286.27565,422.40035,268.26515,404.38985,254.24945,379.35875,225.22295,351.36385
Cer_ADS(d17:0/25:1)-H,664.62495,646.61435,632.59865,616.60385,286.27565,420.38475,268.26515,402.37415,254.24945,377.34305,225.22295,349.34815
Cer_ADS(d17:0/25:2)-H,662.60935,644.59865,630.58305,614.58815,286.27565,418.36905,268.26515,400.35845,254.24945,375.32745,225.22295,347.33245
Cer_ADS(d17:0/25:3)-H,660.59365,642.58305,628.56745,612.57255,286.27565,416.35345,268.26515,398.34285,254.24945,373.31175,225.22295,345.31685
Cer_ADS(d17:0/25:4)-H,658.57805,640.56745,626.55175,610.55685,286.27565,414.33775,268.26515,396.32725,254.24945,371.29615,225.22295,343.30115
Cer_ADS(d17:0/26:0)-H,680.65625,662.64565,648.63005,632.63505,286.27565,436.41605,268.26515,418.40545,254.24945,393.37435,225.22295,365.37945
Cer_ADS(d17:0/26:1)-H,678.64055,660.63005,646.61435,630.61945,286.27565,434.40035,268.26515,416.38985,254.24945,391.35875,225.22295,363.36385
Cer_ADS(d17:0/26:2)-H,676.62495,658.61435,644.59865,628.60385,286.27565,432.38475,268.26515,414.37415,254.24945,389.34305,225.22295,361.34815
Cer_ADS(d17:0/26:3)-H,674.60935,656.59865,642.58305,626.58815,286.27565,430.36905,268.26515,412.35845,254.24945,387.32745,225.22295,359.33245
Cer_ADS(d17:0/26:4)-H,672.59365,654.58305,640.56745,624.57255,286.27565,428.35345,268.26515,410.34285,254.24945,385.31175,225.22295,357.31685
Cer_ADS(d17:0/27:0)-H,694.67185,676.66135,662.64565,646.65075,286.27565,450.43165,268.26515,432.42115,254.24945,407.39005,225.22295,379.39505
Cer_ADS(d17:0/27:1)-H,692.65625,674.64565,660.63005,644.63505,286.27565,448.41605,268.26515,430.40545,254.24945,405.37435,225.22295,377.37945
Cer_ADS(d17:0/27:2)-H,690.64055,672.63005,658.61435,642.61945,286.27565,446.40035,268.26515,428.38985,254.24945,403.35875,225.22295,375.36385
Cer_ADS(d17:0/27:3)-H,688.62495,670.61435,656.59865,640.60385,286.27565,444.38475,268.26515,426.37415,254.24945,401.34305,225.22295,373.34815
Cer_ADS(d17:0/27:4)-H,686.60935,668.59865,654.58305,638.58815,286.27565,442.36905,268.26515,424.35845,254.24945,399.32745,225.22295,371.33245
Cer_ADS(d17:0/28:0)-H,708.68755,690.67695,676.66135,660.66635,286.27565,464.44735,268.26515,446.43675,254.24945,421.40565,225.22295,393.41075
Cer_ADS(d17:0/28:1)-H,706.67185,688.66135,674.64565,658.65075,286.27565,462.43165,268.26515,444.42115,254.24945,419.39005,225.22295,391.39505
Cer_ADS(d17:0/28:2)-H,704.65625,686.64565,672.63005,656.63505,286.27565,460.41605,268.26515,442.40545,254.24945,417.37435,225.22295,389.37945
Cer_ADS(d17:0/28:3)-H,702.64055,684.63005,670.61435,654.61945,286.27565,458.40035,268.26515,440.38985,254.24945,415.35875,225.22295,387.36385
Cer_ADS(d17:0/28:4)-H,700.62495,682.61435,668.59865,652.60385,286.27565,456.38475,268.26515,438.37415,254.24945,413.34305,225.22295,385.34815
Cer_ADS(d17:0/29:0)-H,722.70315,704.69265,690.67695,674.68205,286.27565,478.46295,268.26515,460.45235,254.24945,435.42125,225.22295,407.42635
Cer_ADS(d17:0/29:1)-H,720.68755,702.67695,688.66135,672.66635,286.27565,476.44735,268.26515,458.43675,254.24945,433.40565,225.22295,405.41075
Cer_ADS(d17:0/29:2)-H,718.67185,700.66135,686.64565,670.65075,286.27565,474.43165,268.26515,456.42115,254.24945,431.39005,225.22295,403.39505
Cer_ADS(d17:0/29:3)-H,716.65625,698.64565,684.63005,668.63505,286.27565,472.41605,268.26515,454.40545,254.24945,429.37435,225.22295,401.37945
Cer_ADS(d17:0/29:4)-H,714.64055,696.63005,682.61435,666.61945,286.27565,470.40035,268.26515,452.38985,254.24945,427.35875,225.22295,399.36385
Cer_ADS(d17:0/30:0)-H,736.71885,718.70825,704.69265,688.69765,286.27565,492.47865,268.26515,474.46805,254.24945,449.43695,225.22295,421.44205
Cer_ADS(d17:0/30:1)-H,734.70315,716.69265,702.67695,686.68205,286.27565,490.46295,268.26515,472.45235,254.24945,447.42125,225.22295,419.42635
Cer_ADS(d17:0/30:2)-H,732.68755,714.67695,700.66135,684.66635,286.27565,488.44735,268.26515,470.43675,254.24945,445.40565,225.22295,417.41075
Cer_ADS(d17:0/30:3)-H,730.67185,712.66135,698.64565,682.65075,286.27565,486.43165,268.26515,468.42115,254.24945,443.39005,225.22295,415.39505
Cer_ADS(d17:0/30:4)-H,728.65625,710.64565,696.63005,680.63505,286.27565,484.41605,268.26515,466.40545,254.24945,441.37435,225.22295,413.37945
Cer_ADS(d17:0/31:0)-H,750.73445,732.72395,718.70825,702.71335,286.27565,506.49425,268.26515,488.48375,254.24945,463.45265,225.22295,435.45775
Cer_ADS(d17:0/31:1)-H,748.71885,730.70825,716.69265,700.69765,286.27565,504.47865,268.26515,486.46805,254.24945,461.43695,225.22295,433.44205
Cer_ADS(d17:0/31:2)-H,746.70315,728.69265,714.67695,698.68205,286.27565,502.46295,268.26515,484.45235,254.24945,459.42125,225.22295,431.42635
Cer_ADS(d17:0/31:3)-H,744.68755,726.67695,712.66135,696.66635,286.27565,500.44735,268.26515,482.43675,254.24945,457.40565,225.22295,429.41075
Cer_ADS(d17:0/31:4)-H,742.67185,724.66135,710.64565,694.65075,286.27565,498.43165,268.26515,480.42115,254.24945,455.39005,225.22295,427.39505
Cer_ADS(d17:0/32:0)-H,764.75015,746.73955,732.72395,716.72905,286.27565,520.50995,268.26515,502.49935,254.24945,477.46825,225.22295,449.47335
Cer_ADS(d17:0/32:1)-H,762.73445,744.72395,730.70825,714.71335,286.27565,518.49425,268.26515,500.48375,254.24945,475.45265,225.22295,447.45775
Cer_ADS(d17:0/32:2)-H,760.71885,742.70825,728.69265,712.69765,286.27565,516.47865,268.26515,498.46805,254.24945,473.43695,225.22295,445.44205
Cer_ADS(d17:0/32:3)-H,758.70315,740.69265,726.67695,710.68205,286.27565,514.46295,268.26515,496.45235,254.24945,471.42125,225.22295,443.42635
Cer_ADS(d17:0/32:4)-H,756.68755,738.67695,724.66135,708.66635,286.27565,512.44735,268.26515,494.43675,254.24945,469.40565,225.22295,441.41075
Cer_ADS(d17:0/33:0)-H,778.76585,760.75525,746.73955,730.74465,286.27565,534.52555,268.26515,516.51505,254.24945,491.48395,225.22295,463.48895
Cer_ADS(d17:0/33:1)-H,776.75015,758.73955,744.72395,728.72905,286.27565,532.50995,268.26515,514.49935,254.24945,489.46825,225.22295,461.47335
Cer_ADS(d17:0/33:2)-H,774.73445,756.72395,742.70825,726.71335,286.27565,530.49425,268.26515,512.48375,254.24945,487.45265,225.22295,459.45775
Cer_ADS(d17:0/33:3)-H,772.71885,754.70825,740.69265,724.69765,286.27565,528.47865,268.26515,510.46805,254.24945,485.43695,225.22295,457.44205
Cer_ADS(d17:0/33:4)-H,770.70315,752.69265,738.67695,722.68205,286.27565,526.46295,268.26515,508.45235,254.24945,483.42125,225.22295,455.42635
Cer_ADS(d17:0/34:0)-H,792.78145,774.77085,760.75525,744.76035,286.27565,548.54115,268.26515,530.53065,254.24945,505.49955,225.22295,477.50465
Cer_ADS(d17:0/34:1)-H,790.76585,772.75525,758.73955,742.74465,286.27565,546.52555,268.26515,528.51505,254.24945,503.48395,225.22295,475.48895
Cer_ADS(d17:0/34:2)-H,788.75015,770.73955,756.72395,740.72905,286.27565,544.50995,268.26515,526.49935,254.24945,501.46825,225.22295,473.47335
Cer_ADS(d17:0/34:3)-H,786.73445,768.72395,754.70825,738.71335,286.27565,542.49425,268.26515,524.48375,254.24945,499.45265,225.22295,471.45775
Cer_ADS(d17:0/34:4)-H,784.71885,766.70825,752.69265,736.69765,286.27565,540.47865,268.26515,522.46805,254.24945,497.43695,225.22295,469.44205
Cer_ADS(d17:0/35:0)-H,806.79715,788.78645,774.77085,758.77595,286.27565,562.55685,268.26515,544.54635,254.24945,519.51515,225.22295,491.52025
Cer_ADS(d17:0/35:1)-H,804.78145,786.77085,772.75525,756.76035,286.27565,560.54115,268.26515,542.53065,254.24945,517.49955,225.22295,489.50465
Cer_ADS(d17:0/35:2)-H,802.76585,784.75525,770.73955,754.74465,286.27565,558.52555,268.26515,540.51505,254.24945,515.48385,225.22295,487.48895
Cer_ADS(d17:0/35:3)-H,800.75015,782.73955,768.72395,752.72905,286.27565,556.50995,268.26515,538.49935,254.24945,513.46825,225.22295,485.47335
Cer_ADS(d17:0/35:4)-H,798.73445,780.72395,766.70825,750.71335,286.27565,554.49425,268.26515,536.48375,254.24945,511.45265,225.22295,483.45775
Cer_ADS(d17:0/36:0)-H,820.81275,802.80215,788.78645,772.79165,286.27565,576.57255,268.26515,558.56195,254.24945,533.53085,225.22295,505.53595
Cer_ADS(d17:0/36:1)-H,818.79715,800.78645,786.77085,770.77595,286.27565,574.55685,268.26515,556.54635,254.24945,531.51515,225.22295,503.52025
Cer_ADS(d17:0/36:2)-H,816.78145,798.77085,784.75525,768.76035,286.27565,572.54115,268.26515,554.53065,254.24945,529.49955,225.22295,501.50465
Cer_ADS(d17:0/36:3)-H,814.76585,796.75525,782.73955,766.74465,286.27565,570.52555,268.26515,552.51505,254.24945,527.48385,225.22295,499.48895
Cer_ADS(d17:0/36:4)-H,812.75015,794.73955,780.72395,764.72905,286.27565,568.50995,268.26515,550.49935,254.24945,525.46825,225.22295,497.47335
Cer_ADS(d18:0/14:0)-H,526.48405,508.47355,494.45785,478.46295,300.29135,268.22825,282.28075,250.21765,268.26515,225.18655,239.23855,197.19165
Cer_ADS(d18:0/14:1)-H,524.46845,506.45785,492.44225,476.44725,300.29135,266.21255,282.28075,248.20195,268.26515,223.17095,239.23855,195.17595
Cer_ADS(d18:0/14:2)-H,522.45285,504.44225,490.42655,474.43165,300.29135,264.19695,282.28075,246.18635,268.26515,221.15525,239.23855,193.16035
Cer_ADS(d18:0/14:3)-H,520.43715,502.42655,488.41095,472.41595,300.29135,262.18125,282.28075,244.17075,268.26515,219.13965,239.23855,191.14465
Cer_ADS(d18:0/15:0)-H,540.49975,522.48915,508.47355,492.47865,300.29135,282.24385,282.28075,264.23335,268.26515,239.20225,239.23855,211.20725
Cer_ADS(d18:0/15:1)-H,538.48405,520.47355,506.45785,490.46295,300.29135,280.22825,282.28075,262.21765,268.26515,237.18655,239.23855,209.19165
Cer_ADS(d18:0/15:2)-H,536.46845,518.45785,504.44225,488.44725,300.29135,278.21255,282.28075,260.20195,268.26515,235.17095,239.23855,207.17595
Cer_ADS(d18:0/15:3)-H,534.45285,516.44225,502.42655,486.43165,300.29135,276.19695,282.28075,258.18635,268.26515,233.15525,239.23855,205.16035
Cer_ADS(d18:0/16:0)-H,554.51535,536.50485,522.48915,506.49425,300.29135,296.25955,282.28075,278.24895,268.26515,253.21785,239.23855,225.22295
Cer_ADS(d18:0/16:1)-H,552.49975,534.48915,520.47355,504.47865,300.29135,294.24385,282.28075,276.23335,268.26515,251.20225,239.23855,223.20725
Cer_ADS(d18:0/16:2)-H,550.48405,532.47355,518.45785,502.46295,300.29135,292.22825,282.28075,274.21765,268.26515,249.18655,239.23855,221.19165
Cer_ADS(d18:0/16:3)-H,548.46845,530.45785,516.44225,500.44725,300.29135,290.21255,282.28075,272.20195,268.26515,247.17095,239.23855,219.17595
Cer_ADS(d18:0/16:4)-H,546.45285,528.44225,514.42655,498.43165,300.29135,288.19695,282.28075,270.18635,268.26515,245.15525,239.23855,217.16035
Cer_ADS(d18:0/17:0)-H,568.53105,550.52045,536.50485,520.50985,300.29135,310.27515,282.28075,292.26455,268.26515,267.23355,239.23855,239.23855
Cer_ADS(d18:0/17:1)-H,566.51535,548.50485,534.48915,518.49425,300.29135,308.25955,282.28075,290.24895,268.26515,265.21785,239.23855,237.22295
Cer_ADS(d18:0/17:2)-H,564.49975,546.48915,532.47355,516.47855,300.29135,306.24385,282.28075,288.23335,268.26515,263.20225,239.23855,235.20725
Cer_ADS(d18:0/17:3)-H,562.48405,544.47355,530.45785,514.46295,300.29135,304.22825,282.28075,286.21765,268.26515,261.18655,239.23855,233.19165
Cer_ADS(d18:0/18:0)-H,582.54665,564.53615,550.52045,534.52555,300.29135,324.29085,282.28075,306.28025,268.26515,281.24915,239.23855,253.25425
Cer_ADS(d18:0/18:1)-H,580.53105,562.52045,548.50485,532.50985,300.29135,322.27515,282.28075,304.26455,268.26515,279.23355,239.23855,251.23855
Cer_ADS(d18:0/18:2)-H,578.51535,560.50485,546.48915,530.49425,300.29135,320.25955,282.28075,302.24895,268.26515,277.21785,239.23855,249.22295
Cer_ADS(d18:0/18:3)-H,576.49975,558.48915,544.47355,528.47855,300.29135,318.24385,282.28075,300.23335,268.26515,275.20225,239.23855,247.20725
Cer_ADS(d18:0/18:4)-H,574.48405,556.47355,542.45785,526.46295,300.29135,316.22825,282.28075,298.21765,268.26515,273.18655,239.23855,245.19165
Cer_ADS(d18:0/19:0)-H,596.56235,578.55175,564.53615,548.54115,300.29135,338.30645,282.28075,320.29585,268.26515,295.26485,239.23855,267.26985
Cer_ADS(d18:0/19:1)-H,594.54665,576.53615,562.52045,546.52555,300.29135,336.29085,282.28075,318.28025,268.26515,293.24915,239.23855,265.25425
Cer_ADS(d18:0/19:2)-H,592.53105,574.52045,560.50485,544.50985,300.29135,334.27515,282.28075,316.26455,268.26515,291.23355,239.23855,263.23855
Cer_ADS(d18:0/19:3)-H,590.51535,572.50485,558.48915,542.49425,300.29135,332.25955,282.28075,314.24895,268.26515,289.21785,239.23855,261.22295
Cer_ADS(d18:0/19:4)-H,588.49975,570.48915,556.47355,540.47855,300.29135,330.24385,282.28075,312.23335,268.26515,287.20225,239.23855,259.20725
Cer_ADS(d18:0/20:0)-H,610.57805,592.56745,578.55175,562.55685,300.29135,352.32215,282.28075,334.31155,268.26515,309.28045,239.23855,281.28555
Cer_ADS(d18:0/20:1)-H,608.56235,590.55175,576.53615,560.54115,300.29135,350.30645,282.28075,332.29585,268.26515,307.26485,239.23855,279.26985
Cer_ADS(d18:0/20:2)-H,606.54665,588.53615,574.52045,558.52555,300.29135,348.29085,282.28075,330.28025,268.26515,305.24915,239.23855,277.25425
Cer_ADS(d18:0/20:3)-H,604.53105,586.52045,572.50485,556.50985,300.29135,346.27515,282.28075,328.26455,268.26515,303.23355,239.23855,275.23855
Cer_ADS(d18:0/20:4)-H,602.51535,584.50485,570.48915,554.49425,300.29135,344.25955,282.28075,326.24895,268.26515,301.21785,239.23855,273.22295
Cer_ADS(d18:0/21:0)-H,624.59365,606.58305,592.56745,576.57255,300.29135,366.33775,282.28075,348.32725,268.26515,323.29615,239.23855,295.30115
Cer_ADS(d18:0/21:1)-H,622.57805,604.56745,590.55175,574.55685,300.29135,364.32215,282.28075,346.31155,268.26515,321.28045,239.23855,293.28555
Cer_ADS(d18:0/21:2)-H,620.56235,602.55175,588.53615,572.54115,300.29135,362.30645,282.28075,344.29585,268.26515,319.26485,239.23855,291.26985
Cer_ADS(d18:0/21:3)-H,618.54665,600.53615,586.52045,570.52555,300.29135,360.29085,282.28075,342.28025,268.26515,317.24915,239.23855,289.25425
Cer_ADS(d18:0/21:4)-H,616.53105,598.52045,584.50485,568.50985,300.29135,358.27515,282.28075,340.26455,268.26515,315.23355,239.23855,287.23855
Cer_ADS(d18:0/22:0)-H,638.60935,620.59865,606.58305,590.58815,300.29135,380.35345,282.28075,362.34285,268.26515,337.31175,239.23855,309.31685
Cer_ADS(d18:0/22:1)-H,636.59365,618.58305,604.56745,588.57255,300.29135,378.33775,282.28075,360.32725,268.26515,335.29615,239.23855,307.30115
Cer_ADS(d18:0/22:2)-H,634.57805,616.56745,602.55175,586.55685,300.29135,376.32215,282.28075,358.31155,268.26515,333.28045,239.23855,305.28555
Cer_ADS(d18:0/22:3)-H,632.56235,614.55175,600.53615,584.54115,300.29135,374.30645,282.28075,356.29585,268.26515,331.26485,239.23855,303.26985
Cer_ADS(d18:0/22:4)-H,630.54665,612.53615,598.52045,582.52555,300.29135,372.29085,282.28075,354.28025,268.26515,329.24915,239.23855,301.25425
Cer_ADS(d18:0/23:0)-H,652.62495,634.61435,620.59865,604.60385,300.29135,394.36905,282.28075,376.35845,268.26515,351.32745,239.23855,323.33245
Cer_ADS(d18:0/23:1)-H,650.60935,632.59865,618.58305,602.58815,300.29135,392.35345,282.28075,374.34285,268.26515,349.31175,239.23855,321.31685
Cer_ADS(d18:0/23:2)-H,648.59365,630.58305,616.56745,600.57255,300.29135,390.33775,282.28075,372.32725,268.26515,347.29615,239.23855,319.30115
Cer_ADS(d18:0/23:3)-H,646.57805,628.56745,614.55175,598.55685,300.29135,388.32215,282.28075,370.31155,268.26515,345.28045,239.23855,317.28555
Cer_ADS(d18:0/23:4)-H,644.56235,626.55175,612.53615,596.54115,300.29135,386.30645,282.28075,368.29585,268.26515,343.26485,239.23855,315.26985
Cer_ADS(d18:0/24:0)-H,666.64055,648.63005,634.61435,618.61945,300.29135,408.38475,282.28075,390.37415,268.26515,365.34305,239.23855,337.34815
Cer_ADS(d18:0/24:1)-H,664.62495,646.61435,632.59865,616.60385,300.29135,406.36905,282.28075,388.35845,268.26515,363.32745,239.23855,335.33245
Cer_ADS(d18:0/24:2)-H,662.60935,644.59865,630.58305,614.58815,300.29135,404.35345,282.28075,386.34285,268.26515,361.31175,239.23855,333.31685
Cer_ADS(d18:0/24:3)-H,660.59365,642.58305,628.56745,612.57255,300.29135,402.33775,282.28075,384.32725,268.26515,359.29615,239.23855,331.30115
Cer_ADS(d18:0/24:4)-H,658.57805,640.56745,626.55175,610.55685,300.29135,400.32215,282.28075,382.31155,268.26515,357.28045,239.23855,329.28555
Cer_ADS(d18:0/25:0)-H,680.65625,662.64565,648.63005,632.63505,300.29135,422.40035,282.28075,404.38985,268.26515,379.35875,239.23855,351.36385
Cer_ADS(d18:0/25:1)-H,678.64055,660.63005,646.61435,630.61945,300.29135,420.38475,282.28075,402.37415,268.26515,377.34305,239.23855,349.34815
Cer_ADS(d18:0/25:2)-H,676.62495,658.61435,644.59865,628.60385,300.29135,418.36905,282.28075,400.35845,268.26515,375.32745,239.23855,347.33245
Cer_ADS(d18:0/25:3)-H,674.60935,656.59865,642.58305,626.58815,300.29135,416.35345,282.28075,398.34285,268.26515,373.31175,239.23855,345.31685
Cer_ADS(d18:0/25:4)-H,672.59365,654.58305,640.56745,624.57255,300.29135,414.33775,282.28075,396.32725,268.26515,371.29615,239.23855,343.30115
Cer_ADS(d18:0/26:0)-H,694.67185,676.66135,662.64565,646.65075,300.29135,436.41605,282.28075,418.40545,268.26515,393.37435,239.23855,365.37945
Cer_ADS(d18:0/26:1)-H,692.65625,674.64565,660.63005,644.63505,300.29135,434.40035,282.28075,416.38985,268.26515,391.35875,239.23855,363.36385
Cer_ADS(d18:0/26:2)-H,690.64055,672.63005,658.61435,642.61945,300.29135,432.38475,282.28075,414.37415,268.26515,389.34305,239.23855,361.34815
Cer_ADS(d18:0/26:3)-H,688.62495,670.61435,656.59865,640.60385,300.29135,430.36905,282.28075,412.35845,268.26515,387.32745,239.23855,359.33245
Cer_ADS(d18:0/26:4)-H,686.60935,668.59865,654.58305,638.58815,300.29135,428.35345,282.28075,410.34285,268.26515,385.31175,239.23855,357.31685
Cer_ADS(d18:0/27:0)-H,708.68755,690.67695,676.66135,660.66635,300.29135,450.43165,282.28075,432.42115,268.26515,407.39005,239.23855,379.39505
Cer_ADS(d18:0/27:1)-H,706.67185,688.66135,674.64565,658.65075,300.29135,448.41605,282.28075,430.40545,268.26515,405.37435,239.23855,377.37945
Cer_ADS(d18:0/27:2)-H,704.65625,686.64565,672.63005,656.63505,300.29135,446.40035,282.28075,428.38985,268.26515,403.35875,239.23855,375.36385
Cer_ADS(d18:0/27:3)-H,702.64055,684.63005,670.61435,654.61945,300.29135,444.38475,282.28075,426.37415,268.26515,401.34305,239.23855,373.34815
Cer_ADS(d18:0/27:4)-H,700.62495,682.61435,668.59865,652.60385,300.29135,442.36905,282.28075,424.35845,268.26515,399.32745,239.23855,371.33245
Cer_ADS(d18:0/28:0)-H,722.70315,704.69265,690.67695,674.68205,300.29135,464.44735,282.28075,446.43675,268.26515,421.40565,239.23855,393.41075
Cer_ADS(d18:0/28:1)-H,720.68755,702.67695,688.66135,672.66635,300.29135,462.43165,282.28075,444.42115,268.26515,419.39005,239.23855,391.39505
Cer_ADS(d18:0/28:2)-H,718.67185,700.66135,686.64565,670.65075,300.29135,460.41605,282.28075,442.40545,268.26515,417.37435,239.23855,389.37945
Cer_ADS(d18:0/28:3)-H,716.65625,698.64565,684.63005,668.63505,300.29135,458.40035,282.28075,440.38985,268.26515,415.35875,239.23855,387.36385
Cer_ADS(d18:0/28:4)-H,714.64055,696.63005,682.61435,666.61945,300.29135,456.38475,282.28075,438.37415,268.26515,413.34305,239.23855,385.34815
Cer_ADS(d18:0/29:0)-H,736.71885,718.70825,704.69265,688.69765,300.29135,478.46295,282.28075,460.45235,268.26515,435.42125,239.23855,407.42635
Cer_ADS(d18:0/29:1)-H,734.70315,716.69265,702.67695,686.68205,300.29135,476.44735,282.28075,458.43675,268.26515,433.40565,239.23855,405.41075
Cer_ADS(d18:0/29:2)-H,732.68755,714.67695,700.66135,684.66635,300.29135,474.43165,282.28075,456.42115,268.26515,431.39005,239.23855,403.39505
Cer_ADS(d18:0/29:3)-H,730.67185,712.66135,698.64565,682.65075,300.29135,472.41605,282.28075,454.40545,268.26515,429.37435,239.23855,401.37945
Cer_ADS(d18:0/29:4)-H,728.65625,710.64565,696.63005,680.63505,300.29135,470.40035,282.28075,452.38985,268.26515,427.35875,239.23855,399.36385
Cer_ADS(d18:0/30:0)-H,750.73445,732.72395,718.70825,702.71335,300.29135,492.47865,282.28075,474.46805,268.26515,449.43695,239.23855,421.44205
Cer_ADS(d18:0/30:1)-H,748.71885,730.70825,716.69265,700.69765,300.29135,490.46295,282.28075,472.45235,268.26515,447.42125,239.23855,419.42635
Cer_ADS(d18:0/30:2)-H,746.70315,728.69265,714.67695,698.68205,300.29135,488.44735,282.28075,470.43675,268.26515,445.40565,239.23855,417.41075
Cer_ADS(d18:0/30:3)-H,744.68755,726.67695,712.66135,696.66635,300.29135,486.43165,282.28075,468.42115,268.26515,443.39005,239.23855,415.39505
Cer_ADS(d18:0/30:4)-H,742.67185,724.66135,710.64565,694.65075,300.29135,484.41605,282.28075,466.40545,268.26515,441.37435,239.23855,413.37945
Cer_ADS(d18:0/31:0)-H,764.75015,746.73955,732.72395,716.72905,300.29135,506.49425,282.28075,488.48375,268.26515,463.45265,239.23855,435.45775
Cer_ADS(d18:0/31:1)-H,762.73445,744.72395,730.70825,714.71335,300.29135,504.47865,282.28075,486.46805,268.26515,461.43695,239.23855,433.44205
Cer_ADS(d18:0/31:2)-H,760.71885,742.70825,728.69265,712.69765,300.29135,502.46295,282.28075,484.45235,268.26515,459.42125,239.23855,431.42635
Cer_ADS(d18:0/31:3)-H,758.70315,740.69265,726.67695,710.68205,300.29135,500.44735,282.28075,482.43675,268.26515,457.40565,239.23855,429.41075
Cer_ADS(d18:0/31:4)-H,756.68755,738.67695,724.66135,708.66635,300.29135,498.43165,282.28075,480.42115,268.26515,455.39005,239.23855,427.39505
Cer_ADS(d18:0/32:0)-H,778.76585,760.75525,746.73955,730.74465,300.29135,520.50995,282.28075,502.49935,268.26515,477.46825,239.23855,449.47335
Cer_ADS(d18:0/32:1)-H,776.75015,758.73955,744.72395,728.72905,300.29135,518.49425,282.28075,500.48375,268.26515,475.45265,239.23855,447.45775
Cer_ADS(d18:0/32:2)-H,774.73445,756.72395,742.70825,726.71335,300.29135,516.47865,282.28075,498.46805,268.26515,473.43695,239.23855,445.44205
Cer_ADS(d18:0/32:3)-H,772.71885,754.70825,740.69265,724.69765,300.29135,514.46295,282.28075,496.45235,268.26515,471.42125,239.23855,443.42635
Cer_ADS(d18:0/32:4)-H,770.70315,752.69265,738.67695,722.68205,300.29135,512.44735,282.28075,494.43675,268.26515,469.40565,239.23855,441.41075
Cer_ADS(d18:0/33:0)-H,792.78145,774.77085,760.75525,744.76035,300.29135,534.52555,282.28075,516.51505,268.26515,491.48395,239.23855,463.48895
Cer_ADS(d18:0/33:1)-H,790.76585,772.75525,758.73955,742.74465,300.29135,532.50995,282.28075,514.49935,268.26515,489.46825,239.23855,461.47335
Cer_ADS(d18:0/33:2)-H,788.75015,770.73955,756.72395,740.72905,300.29135,530.49425,282.28075,512.48375,268.26515,487.45265,239.23855,459.45775
Cer_ADS(d18:0/33:3)-H,786.73445,768.72395,754.70825,738.71335,300.29135,528.47865,282.28075,510.46805,268.26515,485.43695,239.23855,457.44205
Cer_ADS(d18:0/33:4)-H,784.71885,766.70825,752.69265,736.69765,300.29135,526.46295,282.28075,508.45235,268.26515,483.42125,239.23855,455.42635
Cer_ADS(d18:0/34:0)-H,806.79715,788.78645,774.77085,758.77595,300.29135,548.54115,282.28075,530.53065,268.26515,505.49955,239.23855,477.50465
Cer_ADS(d18:0/34:1)-H,804.78145,786.77085,772.75525,756.76035,300.29135,546.52555,282.28075,528.51505,268.26515,503.48395,239.23855,475.48895
Cer_ADS(d18:0/34:2)-H,802.76585,784.75525,770.73955,754.74465,300.29135,544.50995,282.28075,526.49935,268.26515,501.46825,239.23855,473.47335
Cer_ADS(d18:0/34:3)-H,800.75015,782.73955,768.72395,752.72905,300.29135,542.49425,282.28075,524.48375,268.26515,499.45265,239.23855,471.45775
Cer_ADS(d18:0/34:4)-H,798.73445,780.72395,766.70825,750.71335,300.29135,540.47865,282.28075,522.46805,268.26515,497.43695,239.23855,469.44205
Cer_ADS(d18:0/35:0)-H,820.81275,802.80215,788.78645,772.79165,300.29135,562.55685,282.28075,544.54635,268.26515,519.51515,239.23855,491.52025
Cer_ADS(d18:0/35:1)-H,818.79715,800.78645,786.77085,770.77595,300.29135,560.54115,282.28075,542.53065,268.26515,517.49955,239.23855,489.50465
Cer_ADS(d18:0/35:2)-H,816.78145,798.77085,784.75525,768.76035,300.29135,558.52555,282.28075,540.51505,268.26515,515.48385,239.23855,487.48895
Cer_ADS(d18:0/35:3)-H,814.76585,796.75525,782.73955,766.74465,300.29135,556.50995,282.28075,538.49935,268.26515,513.46825,239.23855,485.47335
Cer_ADS(d18:0/35:4)-H,812.75015,794.73955,780.72395,764.72905,300.29135,554.49425,282.28075,536.48375,268.26515,511.45265,239.23855,483.45775
Cer_ADS(d18:0/36:0)-H,834.82835,816.81785,802.80215,786.80725,300.29135,576.57255,282.28075,558.56195,268.26515,533.53085,239.23855,505.53595
Cer_ADS(d18:0/36:1)-H,832.81275,814.80215,800.78645,784.79165,300.29135,574.55685,282.28075,556.54635,268.26515,531.51515,239.23855,503.52025
Cer_ADS(d18:0/36:2)-H,830.79715,812.78645,798.77085,782.77595,300.29135,572.54115,282.28075,554.53065,268.26515,529.49955,239.23855,501.50465
