Cer_ADS,[M-H]-,[M-O-H]-,[M-CO-H]-,[M-CO-O-H]-,[Sph-H]-,[Sph+C=O-3H]-,[Sph-O-H]-,[Sph+C=O-O-3H]-,[Sph-CO-H]-,[FA-3H]-,[Sph-NCCO-3H]-,[FA-CO-3H]-
Cer_ADS(d16:0/20:4)-H,574.48405,556.47355,542.45785,526.46295,272.26005,344.25955,254.24945,326.24895,240.23385,301.21785,211.20725,273.22295
Cer_ADS(d16:0/21:0)-H,596.56235,578.55175,564.53615,548.54115,272.26005,366.33775,254.24945,348.32725,240.23385,323.29615,211.20725,295.30115
Cer_ADS(d16:0/21:1)-H,594.54665,576.53615,562.52045,546.52555,272.26005,364.32215,254.24945,346.31155,240.23385,321.28045,211.20725,293.28555
Cer_ADS(d16:0/21:2)-H,592.53105,574.52045,560.50485,544.50985,272.26005,362.30645,254.24945,344.29585,240.23385,319.26485,211.20725,291.26985
Cer_ADS(d16:0/21:3)-H,590.51535,572.50485,558.48915,542.49425,272.26005,360.29085,254.24945,342.28025,240.23385,317.24915,211.20725,289.25425
Cer_ADS(d16:0/21:4)-H,588.49975,570.48915,556.47355,540.47855,272.26005,358.27515,254.24945,340.26455,240.23385,315.23355,211.20725,287.23855
Cer_ADS(d16:0/22:0)-H,610.57805,592.56745,578.55175,562.55685,272.26005,380.35345,254.24945,362.34285,240.23385,337.31175,211.20725,309.31685
Cer_ADS(d16:0/22:1)-H,608.56235,590.55175,576.53615,560.54115,272.26005,378.33775,254.24945,360.32725,240.23385,335.29615,211.20725,307.30115
Cer_ADS(d16:0/22:2)-H,606.54665,588.53615,574.52045,558.52555,272.26005,376.32215,254.24945,358.31155,240.23385,333.28045,211.20725,305.28555
Cer_ADS(d16:0/22:3)-H,604.53105,586.52045,572.50485,556.50985,272.26005,374.30645,254.24945,356.29585,240.23385,331.26485,211.20725,303.26985
Cer_ADS(d16:0/22:4)-H,602.51535,584.50485,570.48915,554.49425,272.26005,372.29085,254.24945,354.28025,240.23385,329.24915,211.20725,301.25425
Cer_ADS(d16:0/23:0)-H,624.59365,606.58305,592.56745,576.57255,272.26005,394.36905,254.24945,376.35845,240.23385,351.32745,211.20725,323.33245
Cer_ADS(d16:0/23:1)-H,622.57805,604.56745,590.55175,574.55685,272.26005,392.35345,254.24945,374.34285,240.23385,349.31175,211.20725,321.31685
Cer_ADS(d16:0/23:2)-H,620.56235,602.55175,588.53615,572.54115,272.26005,390.33775,254.24945,372.32725,240.23385,347.29615,211.20725,319.30115
Cer_ADS(d16:0/23:3)-H,618.54665,600.53615,586.52045,570.52555,272.26005,388.32215,254.24945,370.31155,240.23385,345.28045,211.20725,317.28555
Cer_ADS(d16:0/23:4)-H,616.53105,598.52045,584.50485,568.50985,272.26005,386.30645,254.24945,368.29585,240.23385,343.26485,211.20725,315.26985
Cer_ADS(d16:0/24:0)-H,638.60935,620.59865,606.58305,590.58815,272.26005,408.38475,254.24945,390.37415,240.23385,365.34305,211.20725,337.34815
Cer_ADS(d16:0/24:1)-H,636.59365,618.58305,604.56745,588.57255,272.26005,406.36905,254.24945,388.35845,240.23385,363.32745,211.20725,335.33245
Cer_ADS(d16:0/24:2)-H,634.57805,616.56745,602.55175,586.55685,272.26005,404.35345,254.24945,386.34285,240.23385,361.31175,211.20725,333.31685
Cer_ADS(d16:0/24:3)-H,632.56235,614.55175,600.53615,584.54115,272.26005,402.33775,254.24945,384.32725,240.23385,359.29615,211.20725,331.30115
Cer_ADS(d16:0/24:4)-H,630.54665,612.53615,598.52045,582.52555,272.26005,400.32215,254.24945,382.31155,240.23385,357.28045,211.20725,329.28555
Cer_ADS(d16:0/25:0)-H,652.62495,634.61435,620.59865,604.60385,272.26005,422.40035,254.24945,404.38985,240.23385,379.35875,211.20725,351.36385
Cer_ADS(d16:0/25:1)-H,650.60935,632.59865,618.58305,602.58815,272.26005,420.38475,254.24945,402.37415,240.23385,377.34305,211.20725,349.34815
Cer_ADS(d16:0/25:2)-H,648.59365,630.58305,616.56745,600.57255,272.26005,418.36905,254.24945,400.35845,240.23385,375.32745,211.20725,347.33245
Cer_ADS(d16:0/25:3)-H,646.57805,628.56745,614.55175,598.55685,272.26005,416.35345,254.24945,398.34285,240.23385,373.31175,211.20725,345.31685
Cer_ADS(d16:0/25:4)-H,644.56235,626.55175,612.53615,596.54115,272.26005,414.33775,254.24945,396.32725,240.23385,371.29615,211.20725,343.30115
Cer_ADS(d16:0/26:0)-H,666.64055,648.63005,634.61435,618.61945,272.26005,436.41605,254.24945,418.40545,240.23385,393.37435,211.20725,365.37945
Cer_ADS(d16:0/26:1)-H,664.62495,646.61435,632.59865,616.60385,272.26005,434.40035,254.24945,416.38985,240.23385,391.35875,211.20725,363.36385
Cer_ADS(d16:0/26:2)-H,662.60935,644.59865,630.58305,614.58815,272.26005,432.38475,254.24945,414.37415,240.23385,389.34305,211.20725,361.34815
Cer_ADS(d16:0/26:3)-H,660.59365,642.58305,628.56745,612.57255,272.26005,430.36905,254.24945,412.35845,240.23385,387.32745,211.20725,359.33245
Cer_ADS(d16:0/26:4)-H,658.57805,640.56745,626.55175,610.55685,272.26005,428.35345,254.24945,410.34285,240.23385,385.31175,211.20725,357.31685
Cer_ADS(d16:0/27:0)-H,680.65625,662.64565,648.63005,632.63505,272.26005,450.43165,254.24945,432.42115,240.23385,407.39005,211.20725,379.39505
Cer_ADS(d16:0/27:1)-H,678.64055,660.63005,646.61435,630.61945,272.26005,448.41605,254.24945,430.40545,240.23385,405.37435,211.20725,377.37945
Cer_ADS(d16:0/27:2)-H,676.62495,658.61435,644.59865,628.60385,272.26005,446.40035,254.24945,428.38985,240.23385,403.35875,211.20725,375.36385
Cer_ADS(d16:0/27:3)-H,674.60935,656.59865,642.58305,626.58815,272.26005,444.38475,254.24945,426.37415,240.23385,401.34305,211.20725,373.34815
Cer_ADS(d16:0/27:4)-H,672.59365,654.58305,640.56745,624.57255,272.26005,442.36905,254.24945,424.35845,240.23385,399.32745,211.20725,371.33245
Cer_ADS(d16:0/28:0)-H,694.67185,676.66135,662.64565,646.65075,272.26005,464.44735,254.24945,446.43675,240.23385,421.40565,211.20725,393.41075
Cer_ADS(d16:0/28:1)-H,692.65625,674.64565,660.63005,644.63505,272.26005,462.43165,254.24945,444.42115,240.23385,419.39005,211.20725,391.39505
Cer_ADS(d16:0/28:2)-H,690.64055,672.63005,658.61435,642.61945,272.26005,460.41605,254.24945,442.40545,240.23385,417.37435,211.20725,389.37945
Cer_ADS(d16:0/28:3)-H,688.62495,670.61435,656.59865,640.60385,272.26005,458.40035,254.24945,440.38985,240.23385,415.35875,211.20725,387.36385
Cer_ADS(d16:0/28:4)-H,686.60935,668.59865,654.58305,638.58815,272.26005,456.38475,254.24945,438.37415,240.23385,413.34305,211.20725,385.34815
Cer_ADS(d16:0/29:0)-H,708.68755,690.67695,676.66135,660.66635,272.26005,478.46295,254.24945,460.45235,240.23385,435.42125,211.20725,407.42635
Cer_ADS(d16:0/29:1)-H,706.67185,688.66135,674.64565,658.65075,272.26005,476.44735,254.24945,458.43675,240.23385,433.40565,211.20725,405.41075
Cer_ADS(d16:0/29:2)-H,704.65625,686.64565,672.63005,656.63505,272.26005,474.43165,254.24945,456.42115,240.23385,431.39005,211.20725,403.39505
Cer_ADS(d16:0/29:3)-H,702.64055,684.63005,670.61435,654.61945,272.26005,472.41605,254.24945,454.40545,240.23385,429.37435,211.20725,401.37945
Cer_ADS(d16:0/29:4)-H,700.62495,682.61435,668.59865,652.60385,272.26005,470.40035,254.24945,452.38985,240.23385,427.35875,211.20725,399.36385
Cer_ADS(d16:0/30:0)-H,722.70315,704.69265,690.67695,674.68205,272.26005,492.47865,254.24945,474.46805,240.23385,449.43695,211.20725,421.44205
Cer_ADS(d16:0/30:1)-H,720.68755,702.67695,688.66135,672.66635,272.26005,490.46295,254.24945,472.45235,240.23385,447.42125,211.20725,419.42635
Cer_ADS(d16:0/30:2)-H,718.67185,700.66135,686.64565,670.65075,272.26005,488.44735,254.24945,470.43675,240.23385,445.40565,211.20725,417.41075
Cer_ADS(d16:0/30:3)-H,716.65625,698.64565,684.63005,668.63505,272.26005,486.43165,254.24945,468.42115,240.23385,443.39005,211.20725,415.39505
Cer_ADS(d16:0/30:4)-H,714.64055,696.63005,682.61435,666.61945,272.26005,484.41605,254.24945,466.40545,240.23385,441.37435,211.20725,413.37945
Cer_ADS(d16:0/31:0)-H,736.71885,718.70825,704.69265,688.69765,272.26005,506.49425,254.24945,488.48375,240.23385,463.45265,211.20725,435.45775
Cer_ADS(d16:0/31:1)-H,734.70315,716.69265,702.67695,686.68205,272.26005,504.47865,254.24945,486.46805,240.23385,461.43695,211.20725,433.44205
Cer_ADS(d16:0/31:2)-H,732.68755,714.67695,700.66135,684.66635,272.26005,502.46295,254.24945,484.45235,240.23385,459.42125,211.20725,431.42635
Cer_ADS(d16:0/31:3)-H,730.67185,712.66135,698.64565,682.65075,272.26005,500.44735,254.24945,482.43675,240.23385,457.40565,211.20725,429.41075
Cer_ADS(d16:0/31:4)-H,728.65625,710.64565,696.63005,680.63505,272.26005,498.43165,254.24945,480.42115,240.23385,455.39005,211.20725,427.39505
Cer_ADS(d16:0/32:0)-H,750.73445,732.72395,718.70825,702.71335,272.26005,520.50995,254.24945,502.49935,240.23385,477.46825,211.20725,449.47335
