PS,[M+H]+,NL_head,T1RCOO+58,T2RCOO+58,T1_RCO+,T2_RCO+
PS(10:0_16:0)+H,652.41846,467.40951,313.27376,229.17986,155.14305,239.23695
PS(10:0_16:1)+H,650.40286,465.39391,311.25816,229.17986,155.14305,237.22135
PS(10:0_17:0)+H,666.43416,481.42521,327.28946,229.17986,155.14305,253.25265
PS(10:0_17:1)+H,664.41846,479.40951,325.27376,229.17986,155.14305,251.23695
PS(10:0_17:2)+H,662.40286,477.39391,323.25816,229.17986,155.14305,249.22135
PS(10:0_18:0)+H,680.44976,495.44081,341.30506,229.17986,155.14305,267.26825
PS(10:0_18:1)+H,678.43416,493.42521,339.28946,229.17986,155.14305,265.25265
PS(10:0_18:2)+H,676.41846,491.40951,337.27376,229.17986,155.14305,263.23695
PS(10:0_18:3)+H,674.40286,489.39391,335.25816,229.17986,155.14305,261.22135
PS(10:0_18:4)+H,672.38716,487.37821,333.24246,229.17986,155.14305,259.20565
PS(10:0_19:0)+H,694.46546,509.45651,355.32076,229.17986,155.14305,281.28395
PS(10:0_20:0)+H,708.48106,523.47211,369.33636,229.17986,155.14305,295.29955
PS(10:0_20:1)+H,706.46546,521.45651,367.32076,229.17986,155.14305,293.28395
PS(10:0_20:2)+H,704.44976,519.44081,365.30506,229.17986,155.14305,291.26825
PS(10:0_20:3)+H,702.43416,517.42521,363.28946,229.17986,155.14305,289.25265
PS(10:0_20:4)+H,700.41846,515.40951,361.27376,229.17986,155.14305,287.23695
PS(10:0_20:5)+H,698.40286,513.39391,359.25816,229.17986,155.14305,285.22135
PS(10:0_21:0)+H,722.49676,537.48781,383.35206,229.17986,155.14305,309.31525
PS(10:0_22:0)+H,736.51236,551.50341,397.36766,229.17986,155.14305,323.33085
PS(10:0_22:1)+H,734.49676,549.48781,395.35206,229.17986,155.14305,321.31525
PS(10:0_22:2)+H,732.48106,547.47211,393.33636,229.17986,155.14305,319.29955
