Cer_NDS,[M+H]+,[M-H2O+H]+,[M-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
Cer_NDS(d18:0/19:0)+H,582.58145,564.57085,546.56035,284.29425,266.28365,298.30995,254.28365
Cer_NDS(d18:0/19:1)+H,580.56575,562.55515,544.54465,284.29425,266.28365,296.29425,254.28365
Cer_NDS(d18:0/19:2)+H,578.55015,560.53955,542.52895,284.29425,266.28365,294.27855,254.28365
Cer_NDS(d18:0/19:3)+H,576.53445,558.52395,540.51335,284.29425,266.28365,292.26295,254.28365
Cer_NDS(d18:0/19:4)+H,574.51875,556.50825,538.49765,284.29425,266.28365,290.24735,254.28365
Cer_NDS(d18:0/20:0)+H,596.59705,578.58645,560.57595,284.29425,266.28365,312.32555,254.28365
Cer_NDS(d18:0/20:1)+H,594.58145,576.57085,558.56035,284.29425,266.28365,310.30995,254.28365
Cer_NDS(d18:0/20:2)+H,592.56575,574.55515,556.54465,284.29425,266.28365,308.29425,254.28365
Cer_NDS(d18:0/20:3)+H,590.55015,572.53955,554.52895,284.29425,266.28365,306.27855,254.28365
Cer_NDS(d18:0/20:4)+H,588.53445,570.52395,552.51335,284.29425,266.28365,304.26295,254.28365
Cer_NDS(d18:0/21:0)+H,610.61275,592.60215,574.59155,284.29425,266.28365,326.34115,254.28365
Cer_NDS(d18:0/21:1)+H,608.59705,590.58645,572.57595,284.29425,266.28365,324.32555,254.28365
Cer_NDS(d18:0/21:2)+H,606.58145,588.57085,570.56035,284.29425,266.28365,322.30995,254.28365
Cer_NDS(d18:0/21:3)+H,604.56575,586.55515,568.54465,284.29425,266.28365,320.29425,254.28365
Cer_NDS(d18:0/21:4)+H,602.55015,584.53955,566.52895,284.29425,266.28365,318.27855,254.28365
Cer_NDS(d18:0/22:0)+H,624.62835,606.61775,588.60725,284.29425,266.28365,340.35685,254.28365
Cer_NDS(d18:0/22:1)+H,622.61275,604.60215,586.59155,284.29425,266.28365,338.34115,254.28365
Cer_NDS(d18:0/22:2)+H,620.59705,602.58645,584.57595,284.29425,266.28365,336.32555,254.28365
Cer_NDS(d18:0/22:3)+H,618.58145,600.57085,582.56035,284.29425,266.28365,334.30995,254.28365
Cer_NDS(d18:0/22:4)+H,616.56575,598.55515,580.54465,284.29425,266.28365,332.29425,254.28365
Cer_NDS(d18:0/23:0)+H,638.64405,620.63345,602.62285,284.29425,266.28365,354.37245,254.28365
Cer_NDS(d18:0/23:1)+H,636.62835,618.61775,600.60725,284.29425,266.28365,352.35685,254.28365
Cer_NDS(d18:0/23:2)+H,634.61275,616.60215,598.59155,284.29425,266.28365,350.34115,254.28365
Cer_NDS(d18:0/23:3)+H,632.59705,614.58645,596.57595,284.29425,266.28365,348.32555,254.28365
Cer_NDS(d18:0/23:4)+H,630.58145,612.57085,594.56035,284.29425,266.28365,346.30995,254.28365
Cer_NDS(d18:0/24:0)+H,652.65965,634.64915,616.63855,284.29425,266.28365,368.38815,254.28365
Cer_NDS(d18:0/24:1)+H,650.64405,632.63345,614.62285,284.29425,266.28365,366.37245,254.28365
Cer_NDS(d18:0/24:2)+H,648.62835,630.61775,612.60725,284.29425,266.28365,364.35685,254.28365
Cer_NDS(d18:0/24:3)+H,646.61275,628.60215,610.59155,284.29425,266.28365,362.34115,254.28365
Cer_NDS(d18:0/24:4)+H,644.59705,626.58645,608.57595,284.29425,266.28365,360.32555,254.28365
Cer_NDS(d18:0/25:0)+H,666.67525,648.66475,630.65415,284.29425,266.28365,382.40385,254.28365
Cer_NDS(d18:0/25:1)+H,664.65965,646.64915,628.63855,284.29425,266.28365,380.38815,254.28365
Cer_NDS(d18:0/25:2)+H,662.64405,644.63345,626.62285,284.29425,266.28365,378.37245,254.28365
Cer_NDS(d18:0/25:3)+H,660.62835,642.61775,624.60725,284.29425,266.28365,376.35685,254.28365
Cer_NDS(d18:0/25:4)+H,658.61275,640.60215,622.59155,284.29425,266.28365,374.34115,254.28365
Cer_NDS(d18:0/26:0)+H,680.69095,662.68045,644.66985,284.29425,266.28365,396.41945,254.28365
Cer_NDS(d18:0/26:1)+H,678.67525,660.66475,642.65415,284.29425,266.28365,394.40385,254.28365
Cer_NDS(d18:0/26:2)+H,676.65965,658.64915,640.63855,284.29425,266.28365,392.38815,254.28365
Cer_NDS(d18:0/26:3)+H,674.64405,656.63345,638.62285,284.29425,266.28365,390.37245,254.28365
Cer_NDS(d18:0/26:4)+H,672.62835,654.61775,636.60725,284.29425,266.28365,388.35685,254.28365
Cer_NDS(d18:0/27:0)+H,694.70665,676.69605,658.68545,284.29425,266.28365,410.43505,254.28365
Cer_NDS(d18:0/27:1)+H,692.69095,674.68045,656.66985,284.29425,266.28365,408.41945,254.28365
Cer_NDS(d18:0/27:2)+H,690.67525,672.66475,654.65415,284.29425,266.28365,406.40385,254.28365
Cer_NDS(d18:0/27:3)+H,688.65965,670.64915,652.63855,284.29425,266.28365,404.38815,254.28365
Cer_NDS(d18:0/27:4)+H,686.64405,668.63345,650.62285,284.29425,266.28365,402.37245,254.28365
Cer_NDS(d18:0/28:0)+H,708.72225,690.71175,672.70115,284.29425,266.28365,424.45075,254.28365
Cer_NDS(d18:0/28:1)+H,706.70665,688.69605,670.68545,284.29425,266.28365,422.43505,254.28365
Cer_NDS(d18:0/28:2)+H,704.69095,686.68045,668.66985,284.29425,266.28365,420.41945,254.28365
Cer_NDS(d18:0/28:3)+H,702.67525,684.66475,666.65415,284.29425,266.28365,418.40385,254.28365
Cer_NDS(d18:0/28:4)+H,700.65965,682.64915,664.63855,284.29425,266.28365,416.38815,254.28365
Cer_NDS(d18:0/29:0)+H,722.73795,704.72735,686.71675,284.29425,266.28365,438.46635,254.28365
Cer_NDS(d18:0/29:1)+H,720.72225,702.71175,684.70115,284.29425,266.28365,436.45075,254.28365
Cer_NDS(d18:0/29:2)+H,718.70665,700.69605,682.68545,284.29425,266.28365,434.43505,254.28365
Cer_NDS(d18:0/29:3)+H,716.69095,698.68045,680.66985,284.29425,266.28365,432.41945,254.28365
Cer_NDS(d18:0/29:4)+H,714.67525,696.66475,678.65415,284.29425,266.28365,430.40385,254.28365
Cer_NDS(d18:0/30:0)+H,736.75365,718.74295,700.73245,284.29425,266.28365,452.48205,254.28365
Cer_NDS(d18:0/30:1)+H,734.73795,716.72735,698.71675,284.29425,266.28365,450.46635,254.28365
Cer_NDS(d18:0/30:2)+H,732.72225,714.71175,696.70115,284.29425,266.28365,448.45075,254.28365
Cer_NDS(d18:0/30:3)+H,730.70665,712.69605,694.68545,284.29425,266.28365,446.43505,254.28365
Cer_NDS(d18:0/30:4)+H,728.69095,710.68045,692.66985,284.29425,266.28365,444.41945,254.28365
Cer_NDS(d18:0/31:0)+H,750.76925,732.75865,714.74815,284.29425,266.28365,466.49775,254.28365
Cer_NDS(d18:0/31:1)+H,748.75365,730.74295,712.73245,284.29425,266.28365,464.48205,254.28365
Cer_NDS(d18:0/31:2)+H,746.73795,728.72735,710.71675,284.29425,266.28365,462.46635,254.28365
Cer_NDS(d18:0/31:3)+H,744.72225,726.71175,708.70115,284.29425,266.28365,460.45075,254.28365
Cer_NDS(d18:0/31:4)+H,742.70665,724.69605,706.68545,284.29425,266.28365,458.43505,254.28365
Cer_NDS(d18:0/32:0)+H,764.78485,746.77425,728.76375,284.29425,266.28365,480.51335,254.28365
Cer_NDS(d18:0/32:1)+H,762.76925,744.75865,726.74815,284.29425,266.28365,478.49775,254.28365
Cer_NDS(d18:0/32:2)+H,760.75365,742.74295,724.73245,284.29425,266.28365,476.48205,254.28365
Cer_NDS(d18:0/32:3)+H,758.73795,740.72735,722.71675,284.29425,266.28365,474.46635,254.28365
Cer_NDS(d18:0/32:4)+H,756.72225,738.71175,720.70115,284.29425,266.28365,472.45075,254.28365
Cer_NDS(d18:0/33:0)+H,778.80055,760.78995,742.77935,284.29425,266.28365,494.52895,254.28365
Cer_NDS(d18:0/33:1)+H,776.78485,758.77425,740.76375,284.29425,266.28365,492.51335,254.28365
Cer_NDS(d18:0/33:2)+H,774.76925,756.75865,738.74815,284.29425,266.28365,490.49775,254.28365
Cer_NDS(d18:0/33:3)+H,772.75365,754.74295,736.73245,284.29425,266.28365,488.48205,254.28365
Cer_NDS(d18:0/33:4)+H,770.73795,752.72735,734.71675,284.29425,266.28365,486.46635,254.28365
Cer_NDS(d18:0/34:0)+H,792.81615,774.80565,756.79505,284.29425,266.28365,508.54465,254.28365
Cer_NDS(d18:0/34:1)+H,790.80055,772.78995,754.77935,284.29425,266.28365,506.52895,254.28365
Cer_NDS(d18:0/34:2)+H,788.78485,770.77425,752.76375,284.29425,266.28365,504.51335,254.28365
Cer_NDS(d18:0/34:3)+H,786.76925,768.75865,750.74815,284.29425,266.28365,502.49775,254.28365
Cer_NDS(d18:0/34:4)+H,784.75365,766.74295,748.73245,284.29425,266.28365,500.48205,254.28365
Cer_NDS(d18:0/35:0)+H,806.83185,788.82125,770.81065,284.29425,266.28365,522.56035,254.28365
Cer_NDS(d18:0/35:1)+H,804.81615,786.80565,768.79505,284.29425,266.28365,520.54465,254.28365
Cer_NDS(d18:0/35:2)+H,802.80055,784.78995,766.77935,284.29425,266.28365,518.52895,254.28365
Cer_NDS(d18:0/35:3)+H,800.78485,782.77425,764.76375,284.29425,266.28365,516.51335,254.28365
Cer_NDS(d18:0/35:4)+H,798.76925,780.75865,762.74815,284.29425,266.28365,514.49765,254.28365
Cer_NDS(d18:0/36:0)+H,820.84745,802.83695,784.82635,284.29425,266.28365,536.57595,254.28365
Cer_NDS(d18:0/36:1)+H,818.83185,800.82125,782.81065,284.29425,266.28365,534.56035,254.28365
Cer_NDS(d18:0/36:2)+H,816.81615,798.80565,780.79505,284.29425,266.28365,532.54465,254.28365
Cer_NDS(d18:0/36:3)+H,814.80055,796.78995,778.77935,284.29425,266.28365,530.52895,254.28365
Cer_NDS(d18:0/36:4)+H,812.78485,794.77425,776.76375,284.29425,266.28365,528.51335,254.28365
Cer_NDS(d19:0/14:0)+H,526.51875,508.50825,490.49765,298.30995,280.29935,228.23165,268.29935
Cer_NDS(d19:0/14:1)+H,524.50315,506.49265,488.48205,298.30995,280.29935,226.21605,268.29935
Cer_NDS(d19:0/14:2)+H,522.48755,504.47695,486.46635,298.30995,280.29935,224.20035,268.29935
Cer_NDS(d19:0/14:3)+H,520.47185,502.46135,484.45075,298.30995,280.29935,222.18475,268.29935
Cer_NDS(d19:0/15:0)+H,540.53445,522.52395,504.51335,298.30995,280.29935,242.24725,268.29935
Cer_NDS(d19:0/15:1)+H,538.51875,520.50825,502.49765,298.30995,280.29935,240.23165,268.29935
Cer_NDS(d19:0/15:2)+H,536.50315,518.49265,500.48205,298.30995,280.29935,238.21605,268.29935
Cer_NDS(d19:0/15:3)+H,534.48755,516.47695,498.46635,298.30995,280.29935,236.20035,268.29935
Cer_NDS(d19:0/16:0)+H,554.55015,536.53955,518.52895,298.30995,280.29935,256.26295,268.29935
Cer_NDS(d19:0/16:1)+H,552.53445,534.52395,516.51335,298.30995,280.29935,254.24725,268.29935
Cer_NDS(d19:0/16:2)+H,550.51875,532.50825,514.49765,298.30995,280.29935,252.23165,268.29935
Cer_NDS(d19:0/16:3)+H,548.50315,530.49265,512.48205,298.30995,280.29935,250.21605,268.29935
Cer_NDS(d19:0/16:4)+H,546.48755,528.47695,510.46635,298.30995,280.29935,248.20035,268.29935
Cer_NDS(d19:0/17:0)+H,568.56575,550.55515,532.54465,298.30995,280.29935,270.27855,268.29935
Cer_NDS(d19:0/17:1)+H,566.55015,548.53955,530.52895,298.30995,280.29935,268.26295,268.29935
Cer_NDS(d19:0/17:2)+H,564.53445,546.52395,528.51335,298.30995,280.29935,266.24735,268.29935
Cer_NDS(d19:0/17:3)+H,562.51875,544.50825,526.49765,298.30995,280.29935,264.23165,268.29935
Cer_NDS(d19:0/18:0)+H,582.58145,564.57085,546.56035,298.30995,280.29935,284.29425,268.29935
Cer_NDS(d19:0/18:1)+H,580.56575,562.55515,544.54465,298.30995,280.29935,282.27855,268.29935
Cer_NDS(d19:0/18:2)+H,578.55015,560.53955,542.52895,298.30995,280.29935,280.26295,268.29935
Cer_NDS(d19:0/18:3)+H,576.53445,558.52395,540.51335,298.30995,280.29935,278.24735,268.29935
Cer_NDS(d19:0/18:4)+H,574.51875,556.50825,538.49765,298.30995,280.29935,276.23165,268.29935
Cer_NDS(d19:0/19:0)+H,596.59705,578.58645,560.57595,298.30995,280.29935,298.30995,268.29935
Cer_NDS(d19:0/19:1)+H,594.58145,576.57085,558.56035,298.30995,280.29935,296.29425,268.29935
Cer_NDS(d19:0/19:2)+H,592.56575,574.55515,556.54465,298.30995,280.29935,294.27855,268.29935
Cer_NDS(d19:0/19:3)+H,590.55015,572.53955,554.52895,298.30995,280.29935,292.26295,268.29935
Cer_NDS(d19:0/19:4)+H,588.53445,570.52395,552.51335,298.30995,280.29935,290.24735,268.29935
Cer_NDS(d19:0/20:0)+H,610.61275,592.60215,574.59155,298.30995,280.29935,312.32555,268.29935
Cer_NDS(d19:0/20:1)+H,608.59705,590.58645,572.57595,298.30995,280.29935,310.30995,268.29935
Cer_NDS(d19:0/20:2)+H,606.58145,588.57085,570.56035,298.30995,280.29935,308.29425,268.29935
Cer_NDS(d19:0/20:3)+H,604.56575,586.55515,568.54465,298.30995,280.29935,306.27855,268.29935
Cer_NDS(d19:0/20:4)+H,602.55015,584.53955,566.52895,298.30995,280.29935,304.26295,268.29935
Cer_NDS(d19:0/21:0)+H,624.62835,606.61775,588.60725,298.30995,280.29935,326.34115,268.29935
Cer_NDS(d19:0/21:1)+H,622.61275,604.60215,586.59155,298.30995,280.29935,324.32555,268.29935
Cer_NDS(d19:0/21:2)+H,620.59705,602.58645,584.57595,298.30995,280.29935,322.30995,268.29935
Cer_NDS(d19:0/21:3)+H,618.58145,600.57085,582.56035,298.30995,280.29935,320.29425,268.29935
Cer_NDS(d19:0/21:4)+H,616.56575,598.55515,580.54465,298.30995,280.29935,318.27855,268.29935
Cer_NDS(d19:0/22:0)+H,638.64405,620.63345,602.62285,298.30995,280.29935,340.35685,268.29935
Cer_NDS(d19:0/22:1)+H,636.62835,618.61775,600.60725,298.30995,280.29935,338.34115,268.29935
Cer_NDS(d19:0/22:2)+H,634.61275,616.60215,598.59155,298.30995,280.29935,336.32555,268.29935
Cer_NDS(d19:0/22:3)+H,632.59705,614.58645,596.57595,298.30995,280.29935,334.30995,268.29935
Cer_NDS(d19:0/22:4)+H,630.58145,612.57085,594.56035,298.30995,280.29935,332.29425,268.29935
Cer_NDS(d19:0/23:0)+H,652.65965,634.64915,616.63855,298.30995,280.29935,354.37245,268.29935
Cer_NDS(d19:0/23:1)+H,650.64405,632.63345,614.62285,298.30995,280.29935,352.35685,268.29935
Cer_NDS(d19:0/23:2)+H,648.62835,630.61775,612.60725,298.30995,280.29935,350.34115,268.29935
Cer_NDS(d19:0/23:3)+H,646.61275,628.60215,610.59155,298.30995,280.29935,348.32555,268.29935
Cer_NDS(d19:0/23:4)+H,644.59705,626.58645,608.57595,298.30995,280.29935,346.30995,268.29935
Cer_NDS(d19:0/24:0)+H,666.67525,648.66475,630.65415,298.30995,280.29935,368.38815,268.29935
Cer_NDS(d19:0/24:1)+H,664.65965,646.64915,628.63855,298.30995,280.29935,366.37245,268.29935
Cer_NDS(d19:0/24:2)+H,662.64405,644.63345,626.62285,298.30995,280.29935,364.35685,268.29935
Cer_NDS(d19:0/24:3)+H,660.62835,642.61775,624.60725,298.30995,280.29935,362.34115,268.29935
Cer_NDS(d19:0/24:4)+H,658.61275,640.60215,622.59155,298.30995,280.29935,360.32555,268.29935
Cer_NDS(d19:0/25:0)+H,680.69095,662.68045,644.66985,298.30995,280.29935,382.40385,268.29935
Cer_NDS(d19:0/25:1)+H,678.67525,660.66475,642.65415,298.30995,280.29935,380.38815,268.29935
Cer_NDS(d19:0/25:2)+H,676.65965,658.64915,640.63855,298.30995,280.29935,378.37245,268.29935
Cer_NDS(d19:0/25:3)+H,674.64405,656.63345,638.62285,298.30995,280.29935,376.35685,268.29935
Cer_NDS(d19:0/25:4)+H,672.62835,654.61775,636.60725,298.30995,280.29935,374.34115,268.29935
Cer_NDS(d19:0/26:0)+H,694.70665,676.69605,658.68545,298.30995,280.29935,396.41945,268.29935
Cer_NDS(d19:0/26:1)+H,692.69095,674.68045,656.66985,298.30995,280.29935,394.40385,268.29935
Cer_NDS(d19:0/26:2)+H,690.67525,672.66475,654.65415,298.30995,280.29935,392.38815,268.29935
Cer_NDS(d19:0/26:3)+H,688.65965,670.64915,652.63855,298.30995,280.29935,390.37245,268.29935
Cer_NDS(d19:0/26:4)+H,686.64405,668.63345,650.62285,298.30995,280.29935,388.35685,268.29935
Cer_NDS(d19:0/27:0)+H,708.72225,690.71175,672.70115,298.30995,280.29935,410.43505,268.29935
Cer_NDS(d19:0/27:1)+H,706.70665,688.69605,670.68545,298.30995,280.29935,408.41945,268.29935
Cer_NDS(d19:0/27:2)+H,704.69095,686.68045,668.66985,298.30995,280.29935,406.40385,268.29935
Cer_NDS(d19:0/27:3)+H,702.67525,684.66475,666.65415,298.30995,280.29935,404.38815,268.29935
Cer_NDS(d19:0/27:4)+H,700.65965,682.64915,664.63855,298.30995,280.29935,402.37245,268.29935
Cer_NDS(d19:0/28:0)+H,722.73795,704.72735,686.71675,298.30995,280.29935,424.45075,268.29935
Cer_NDS(d19:0/28:1)+H,720.72225,702.71175,684.70115,298.30995,280.29935,422.43505,268.29935
Cer_NDS(d19:0/28:2)+H,718.70665,700.69605,682.68545,298.30995,280.29935,420.41945,268.29935
Cer_NDS(d19:0/28:3)+H,716.69095,698.68045,680.66985,298.30995,280.29935,418.40385,268.29935
Cer_NDS(d19:0/28:4)+H,714.67525,696.66475,678.65415,298.30995,280.29935,416.38815,268.29935
Cer_NDS(d19:0/29:0)+H,736.75365,718.74295,700.73245,298.30995,280.29935,438.46635,268.29935
Cer_NDS(d19:0/29:1)+H,734.73795,716.72735,698.71675,298.30995,280.29935,436.45075,268.29935
Cer_NDS(d19:0/29:2)+H,732.72225,714.71175,696.70115,298.30995,280.29935,434.43505,268.29935
Cer_NDS(d19:0/29:3)+H,730.70665,712.69605,694.68545,298.30995,280.29935,432.41945,268.29935
Cer_NDS(d19:0/29:4)+H,728.69095,710.68045,692.66985,298.30995,280.29935,430.40385,268.29935
Cer_NDS(d19:0/30:0)+H,750.76925,732.75865,714.74815,298.30995,280.29935,452.48205,268.29935
Cer_NDS(d19:0/30:1)+H,748.75365,730.74295,712.73245,298.30995,280.29935,450.46635,268.29935
Cer_NDS(d19:0/30:2)+H,746.73795,728.72735,710.71675,298.30995,280.29935,448.45075,268.29935
Cer_NDS(d19:0/30:3)+H,744.72225,726.71175,708.70115,298.30995,280.29935,446.43505,268.29935
Cer_NDS(d19:0/30:4)+H,742.70665,724.69605,706.68545,298.30995,280.29935,444.41945,268.29935
Cer_NDS(d19:0/31:0)+H,764.78485,746.77425,728.76375,298.30995,280.29935,466.49775,268.29935
Cer_NDS(d19:0/31:1)+H,762.76925,744.75865,726.74815,298.30995,280.29935,464.48205,268.29935
Cer_NDS(d19:0/31:2)+H,760.75365,742.74295,724.73245,298.30995,280.29935,462.46635,268.29935
Cer_NDS(d19:0/31:3)+H,758.73795,740.72735,722.71675,298.30995,280.29935,460.45075,268.29935
Cer_NDS(d19:0/31:4)+H,756.72225,738.71175,720.70115,298.30995,280.29935,458.43505,268.29935
Cer_NDS(d19:0/32:0)+H,778.80055,760.78995,742.77935,298.30995,280.29935,480.51335,268.29935
Cer_NDS(d19:0/32:1)+H,776.78485,758.77425,740.76375,298.30995,280.29935,478.49775,268.29935
Cer_NDS(d19:0/32:2)+H,774.76925,756.75865,738.74815,298.30995,280.29935,476.48205,268.29935
Cer_NDS(d19:0/32:3)+H,772.75365,754.74295,736.73245,298.30995,280.29935,474.46635,268.29935
Cer_NDS(d19:0/32:4)+H,770.73795,752.72735,734.71675,298.30995,280.29935,472.45075,268.29935
Cer_NDS(d19:0/33:0)+H,792.81615,774.80565,756.79505,298.30995,280.29935,494.52895,268.29935
Cer_NDS(d19:0/33:1)+H,790.80055,772.78995,754.77935,298.30995,280.29935,492.51335,268.29935
Cer_NDS(d19:0/33:2)+H,788.78485,770.77425,752.76375,298.30995,280.29935,490.49775,268.29935
Cer_NDS(d19:0/33:3)+H,786.76925,768.75865,750.74815,298.30995,280.29935,488.48205,268.29935
Cer_NDS(d19:0/33:4)+H,784.75365,766.74295,748.73245,298.30995,280.29935,486.46635,268.29935
Cer_NDS(d19:0/34:0)+H,806.83185,788.82125,770.81065,298.30995,280.29935,508.54465,268.29935
Cer_NDS(d19:0/34:1)+H,804.81615,786.80565,768.79505,298.30995,280.29935,506.52895,268.29935
Cer_NDS(d19:0/34:2)+H,802.80055,784.78995,766.77935,298.30995,280.29935,504.51335,268.29935
Cer_NDS(d19:0/34:3)+H,800.78485,782.77425,764.76375,298.30995,280.29935,502.49775,268.29935
Cer_NDS(d19:0/34:4)+H,798.76925,780.75865,762.74815,298.30995,280.29935,500.48205,268.29935
Cer_NDS(d19:0/35:0)+H,820.84745,802.83695,784.82635,298.30995,280.29935,522.56035,268.29935
Cer_NDS(d19:0/35:1)+H,818.83185,800.82125,782.81065,298.30995,280.29935,520.54465,268.29935
Cer_NDS(d19:0/35:2)+H,816.81615,798.80565,780.79505,298.30995,280.29935,518.52895,268.29935
Cer_NDS(d19:0/35:3)+H,814.80055,796.78995,778.77935,298.30995,280.29935,516.51335,268.29935
Cer_NDS(d19:0/35:4)+H,812.78485,794.77425,776.76375,298.30995,280.29935,514.49765,268.29935
Cer_NDS(d19:0/36:0)+H,834.86305,816.85255,798.84195,298.30995,280.29935,536.57595,268.29935
Cer_NDS(d19:0/36:1)+H,832.84745,814.83695,796.82635,298.30995,280.29935,534.56035,268.29935
Cer_NDS(d19:0/36:2)+H,830.83185,812.82125,794.81065,298.30995,280.29935,532.54465,268.29935
Cer_NDS(d19:0/36:3)+H,828.81615,810.80565,792.79505,298.30995,280.29935,530.52895,268.29935
Cer_NDS(d19:0/36:4)+H,826.80055,808.78995,790.77935,298.30995,280.29935,528.51335,268.29935
Cer_NDS(d20:0/14:0)+H,540.53445,522.52395,504.51335,312.32555,294.31495,228.23165,282.31495
Cer_NDS(d20:0/14:1)+H,538.51875,520.50825,502.49765,312.32555,294.31495,226.21605,282.31495
Cer_NDS(d20:0/14:2)+H,536.50315,518.49265,500.48205,312.32555,294.31495,224.20035,282.31495
Cer_NDS(d20:0/14:3)+H,534.48755,516.47695,498.46635,312.32555,294.31495,222.18475,282.31495
Cer_NDS(d20:0/15:0)+H,554.55015,536.53955,518.52895,312.32555,294.31495,242.24725,282.31495
Cer_NDS(d20:0/15:1)+H,552.53445,534.52395,516.51335,312.32555,294.31495,240.23165,282.31495
Cer_NDS(d20:0/15:2)+H,550.51875,532.50825,514.49765,312.32555,294.31495,238.21605,282.31495
Cer_NDS(d20:0/15:3)+H,548.50315,530.49265,512.48205,312.32555,294.31495,236.20035,282.31495
Cer_NDS(d20:0/16:0)+H,568.56575,550.55515,532.54465,312.32555,294.31495,256.26295,282.31495
Cer_NDS(d20:0/16:1)+H,566.55015,548.53955,530.52895,312.32555,294.31495,254.24725,282.31495
Cer_NDS(d20:0/16:2)+H,564.53445,546.52395,528.51335,312.32555,294.31495,252.23165,282.31495
Cer_NDS(d20:0/16:3)+H,562.51875,544.50825,526.49765,312.32555,294.31495,250.21605,282.31495
Cer_NDS(d20:0/16:4)+H,560.50315,542.49265,524.48205,312.32555,294.31495,248.20035,282.31495
Cer_NDS(d20:0/17:0)+H,582.58145,564.57085,546.56035,312.32555,294.31495,270.27855,282.31495
Cer_NDS(d20:0/17:1)+H,580.56575,562.55515,544.54465,312.32555,294.31495,268.26295,282.31495
Cer_NDS(d20:0/17:2)+H,578.55015,560.53955,542.52895,312.32555,294.31495,266.24735,282.31495
Cer_NDS(d20:0/17:3)+H,576.53445,558.52395,540.51335,312.32555,294.31495,264.23165,282.31495
Cer_NDS(d20:0/18:0)+H,596.59705,578.58645,560.57595,312.32555,294.31495,284.29425,282.31495
Cer_NDS(d20:0/18:1)+H,594.58145,576.57085,558.56035,312.32555,294.31495,282.27855,282.31495
Cer_NDS(d20:0/18:2)+H,592.56575,574.55515,556.54465,312.32555,294.31495,280.26295,282.31495
Cer_NDS(d20:0/18:3)+H,590.55015,572.53955,554.52895,312.32555,294.31495,278.24735,282.31495
Cer_NDS(d20:0/18:4)+H,588.53445,570.52395,552.51335,312.32555,294.31495,276.23165,282.31495
Cer_NDS(d20:0/19:0)+H,610.61275,592.60215,574.59155,312.32555,294.31495,298.30995,282.31495
Cer_NDS(d20:0/19:1)+H,608.59705,590.58645,572.57595,312.32555,294.31495,296.29425,282.31495
Cer_NDS(d20:0/19:2)+H,606.58145,588.57085,570.56035,312.32555,294.31495,294.27855,282.31495
Cer_NDS(d20:0/19:3)+H,604.56575,586.55515,568.54465,312.32555,294.31495,292.26295,282.31495
Cer_NDS(d20:0/19:4)+H,602.55015,584.53955,566.52895,312.32555,294.31495,290.24735,282.31495
Cer_NDS(d20:0/20:0)+H,624.62835,606.61775,588.60725,312.32555,294.31495,312.32555,282.31495
Cer_NDS(d20:0/20:1)+H,622.61275,604.60215,586.59155,312.32555,294.31495,310.30995,282.31495
Cer_NDS(d20:0/20:2)+H,620.59705,602.58645,584.57595,312.32555,294.31495,308.29425,282.31495
Cer_NDS(d20:0/20:3)+H,618.58145,600.57085,582.56035,312.32555,294.31495,306.27855,282.31495
Cer_NDS(d20:0/20:4)+H,616.56575,598.55515,580.54465,312.32555,294.31495,304.26295,282.31495
Cer_NDS(d20:0/21:0)+H,638.64405,620.63345,602.62285,312.32555,294.31495,326.34115,282.31495
Cer_NDS(d20:0/21:1)+H,636.62835,618.61775,600.60725,312.32555,294.31495,324.32555,282.31495
Cer_NDS(d20:0/21:2)+H,634.61275,616.60215,598.59155,312.32555,294.31495,322.30995,282.31495
Cer_NDS(d20:0/21:3)+H,632.59705,614.58645,596.57595,312.32555,294.31495,320.29425,282.31495
Cer_NDS(d20:0/21:4)+H,630.58145,612.57085,594.56035,312.32555,294.31495,318.27855,282.31495
Cer_NDS(d20:0/22:0)+H,652.65965,634.64915,616.63855,312.32555,294.31495,340.35685,282.31495
Cer_NDS(d20:0/22:1)+H,650.64405,632.63345,614.62285,312.32555,294.31495,338.34115,282.31495
Cer_NDS(d20:0/22:2)+H,648.62835,630.61775,612.60725,312.32555,294.31495,336.32555,282.31495
Cer_NDS(d20:0/22:3)+H,646.61275,628.60215,610.59155,312.32555,294.31495,334.30995,282.31495
Cer_NDS(d20:0/22:4)+H,644.59705,626.58645,608.57595,312.32555,294.31495,332.29425,282.31495
Cer_NDS(d20:0/23:0)+H,666.67525,648.66475,630.65415,312.32555,294.31495,354.37245,282.31495
Cer_NDS(d20:0/23:1)+H,664.65965,646.64915,628.63855,312.32555,294.31495,352.35685,282.31495
Cer_NDS(d20:0/23:2)+H,662.64405,644.63345,626.62285,312.32555,294.31495,350.34115,282.31495
Cer_NDS(d20:0/23:3)+H,660.62835,642.61775,624.60725,312.32555,294.31495,348.32555,282.31495
Cer_NDS(d20:0/23:4)+H,658.61275,640.60215,622.59155,312.32555,294.31495,346.30995,282.31495
Cer_NDS(d20:0/24:0)+H,680.69095,662.68045,644.66985,312.32555,294.31495,368.38815,282.31495
Cer_NDS(d20:0/24:1)+H,678.67525,660.66475,642.65415,312.32555,294.31495,366.37245,282.31495
Cer_NDS(d20:0/24:2)+H,676.65965,658.64915,640.63855,312.32555,294.31495,364.35685,282.31495
