"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+HCO2]-","NL_CH3&HCO2","NL_choline&HCO2","NL_R1C2HO","NL_R1COOH&CH3&HCO2","Phosphocholine_NL_CH3","Glycerol-3-phosphate_NL_H2O","R1COO-","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","LPC(18:1)+HCO2","1","1","1","1","1","1","1","1","0","1","0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2","0.9532399","0.9532399","0.9532399","0.9532399","0.9532399","0.9532399","0.9532399","0.9532399","0","0.9532399","0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2","2","2","2","2","2","2","2","2","0","2","0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2"," 49273.480","1210233.00"," 3077.8720","15758.0300"," 49145.1100"," 4728.6840"," 4036.9350"," 677886.000","0","2600.0410","0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2","566.3465","506.3252","435.2523","242.0799","224.0693","168.0431","152.9957","281.2486","0","78.95913","0.849518181818182","1.14951818181818","50","","LPC(18:1)+HCO2","566.34635","506.32525","435.25175","242.0799","224.0693","168.0431","152.9958","281.248605","96.9696","78.9591","0.849518181818182","1.14951818181818","50"
"","LPC(18:2)+HCO2","1","1","1","1","1","1","1","1","0","1","0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0","0.7780710","0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2","1","1","1","1","1","1","1","1","0","1","0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2"," 64452.280","1830033.00"," 4131.2950","23369.1900"," 75822.2600"," 7160.9830"," 5329.4200"," 917921.600","0","3800.0170","0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2","564.3311","504.3098","433.2365","242.0800","224.0693","168.0432","152.9960","279.2329","0","78.95913","0.590513636363636","0.890513636363636","28","","LPC(18:2)+HCO2","564.3307","504.3096","433.2361","242.0799","224.0693","168.0431","152.9958","279.232955","96.9696","78.9591","0.590513636363636","0.890513636363636","28"
"","LPC(18:2)+HCO2","1","1","1","1","1","1","1","1","0","1","0.765088888888889","1.06508888888889","276","","LPC(18:2)+HCO2","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0.7780710","0","0.7780710","0.765088888888889","1.06508888888889","276","","LPC(18:2)+HCO2","2","2","1","2","2","1","2","2","0","1","0.765088888888889","1.06508888888889","276","","LPC(18:2)+HCO2"," 64452.280","1830033.00"," 4131.2950","23369.1900"," 75822.2600"," 7160.9830"," 5329.4200"," 917921.600","0","3800.0170","0.765088888888889","1.06508888888889","276","","LPC(18:2)+HCO2","564.3311","504.3098","433.2365","242.0799","224.0695","168.0432","152.9957","279.2329","0","78.95913","0.765088888888889","1.06508888888889","276","","LPC(18:2)+HCO2","564.3307","504.3096","433.2361","242.0799","224.0693","168.0431","152.9958","279.232955","96.9696","78.9591","0.765088888888889","1.06508888888889","276"
"","LPC(18:3)+HCO2","1","1","0","0","1","0","0","1","0","0","0.452106060606061","0.752106060606061","352","","LPC(18:3)+HCO2","0.6191943","0.6191943","0.0000000","0.6191943","0.6191943","0.0000000","0.0000000","0.6191943","0","0.0000000","0.452106060606061","0.752106060606061","352","","LPC(18:3)+HCO2","1","1","0","1","1","0","0","1","0","0","0.452106060606061","0.752106060606061","352","","LPC(18:3)+HCO2","  1367.118","  77863.21","    0.0000","  491.3768","  3253.9210","    0.0000","    0.0000","  41433.710","0","   0.0000","0.452106060606061","0.752106060606061","352","","LPC(18:3)+HCO2","562.3171","502.2942","  0.0000","242.0799","224.0695","  0.0000","  0.0000","277.2173","0"," 0.00000","0.452106060606061","0.752106060606061","352","","LPC(18:3)+HCO2","562.31505","502.29395","431.22045","242.0799","224.0693","168.0431","152.9958","277.217305","96.9696","78.9591","0.452106060606061","0.752106060606061","352"
"","LPC(19:0)+HCO2","1","1","1","1","1","1","1","1","0","0","1.52206666666667","1.82206666666667","51","","LPC(19:0)+HCO2","1.7146680","1.7146680","1.7146680","1.7146680","1.7146680","1.7146680","1.7146680","1.7146680","0","1.7146680","1.52206666666667","1.82206666666667","51","","LPC(19:0)+HCO2","2","2","1","1","2","1","1","2","0","1","1.52206666666667","1.82206666666667","51","","LPC(19:0)+HCO2"," 46728.480","1041953.00"," 2936.7880","10581.0600"," 31597.7200"," 4210.5060"," 3426.8890"," 388791.300","0"," 692.8632","1.52206666666667","1.82206666666667","51","","LPC(19:0)+HCO2","582.3776","522.3565","451.2832","242.0798","224.0693","168.0432","152.9959","297.2799","0","78.95912","1.52206666666667","1.82206666666667","51","","LPC(19:0)+HCO2","582.37765","522.35655","451.28305","242.0799","224.0693","168.0431","152.9958","297.279905","96.9696","78.9591","1.52206666666667","1.82206666666667","51"
"","LPC(19:0)+HCO2","1","1","1","1","1","1","1","1","0","0","1.68062083333333","1.98062083333333","1955","","LPC(19:0)+HCO2","1.7146680","1.7146680","1.7146680","1.7146680","1.7146680","1.7146680","1.7146680","1.7146680","0","1.7146680","1.68062083333333","1.98062083333333","1955","","LPC(19:0)+HCO2","2","2","1","1","2","1","1","2","0","1","1.68062083333333","1.98062083333333","1955","","LPC(19:0)+HCO2"," 46728.480","1041953.00"," 2936.7880","10581.0600"," 31597.7200"," 4210.5060"," 3426.8890"," 388791.300","0"," 692.8632","1.68062083333333","1.98062083333333","1955","","LPC(19:0)+HCO2","582.3780","522.3565","451.2832","242.0798","224.0693","168.0432","152.9959","297.2799","0","78.95912","1.68062083333333","1.98062083333333","1955","","LPC(19:0)+HCO2","582.37765","522.35655","451.28305","242.0799","224.0693","168.0431","152.9958","297.279905","96.9696","78.9591","1.68062083333333","1.98062083333333","1955"
"","LPC(19:0)+HCO2","1","1","0","0","0","0","0","1","0","0","1.40154090909091","1.70154090909091","3887","","LPC(19:0)+HCO2","1.5922110","1.5922110","0.0000000","0.0000000","1.5922110","0.0000000","0.0000000","1.5922110","0","0.0000000","1.40154090909091","1.70154090909091","3887","","LPC(19:0)+HCO2","1","1","0","0","1","0","0","1","0","0","1.40154090909091","1.70154090909091","3887","","LPC(19:0)+HCO2","  2842.551","  49176.78","    0.0000","    0.0000","   472.8502","    0.0000","    0.0000","  38984.140","0","   0.0000","1.40154090909091","1.70154090909091","3887","","LPC(19:0)+HCO2","582.3771","522.3566","  0.0000","  0.0000","224.0692","  0.0000","  0.0000","297.2799","0"," 0.00000","1.40154090909091","1.70154090909091","3887","","LPC(19:0)+HCO2","582.37765","522.35655","451.28305","242.0799","224.0693","168.0431","152.9958","297.279905","96.9696","78.9591","1.40154090909091","1.70154090909091","3887"
"","LPC(20:3)+HCO2","1","1","0","0","1","0","0","1","0","0","0.69500303030303","0.99500303030303","179","","LPC(20:3)+HCO2","0.8874418","0.8874418","0.0000000","0.8874418","0.8874418","0.0000000","0.0000000","0.8874418","0","0.0000000","0.69500303030303","0.99500303030303","179","","LPC(20:3)+HCO2","1","1","0","1","1","0","0","1","0","0","0.69500303030303","0.99500303030303","179","","LPC(20:3)+HCO2","  1800.179","  89412.56","    0.0000","  673.9000","  4845.9170","    0.0000","    0.0000","  47893.540","0","   0.0000","0.69500303030303","0.99500303030303","179","","LPC(20:3)+HCO2","590.3469","530.3254","  0.0000","242.0797","224.0695","  0.0000","  0.0000","305.2487","0"," 0.00000","0.69500303030303","0.99500303030303","179","","LPC(20:3)+HCO2","590.34635","530.32525","459.25175","242.0799","224.0693","168.0431","152.9958","305.248605","96.9696","78.9591","0.69500303030303","0.99500303030303","179"
"","LPC(20:3)+HCO2","1","1","0","0","1","0","0","1","0","0","0.84495","1.14495","3808","","LPC(20:3)+HCO2","0.8874418","0.8874418","0.0000000","0.8874418","0.8874418","0.0000000","0.0000000","0.8874418","0","0.0000000","0.84495","1.14495","3808","","LPC(20:3)+HCO2","1","1","0","1","1","0","0","1","0","0","0.84495","1.14495","3808","","LPC(20:3)+HCO2","  1800.179","  89412.56","    0.0000","  673.9000","  4845.9170","    0.0000","    0.0000","  47893.540","0","   0.0000","0.84495","1.14495","3808","","LPC(20:3)+HCO2","590.3469","530.3254","  0.0000","242.0797","224.0695","  0.0000","  0.0000","305.2487","0"," 0.00000","0.84495","1.14495","3808","","LPC(20:3)+HCO2","590.34635","530.32525","459.25175","242.0799","224.0693","168.0431","152.9958","305.248605","96.9696","78.9591","0.84495","1.14495","3808"
"","LPC(20:4)+HCO2","1","1","0","1","1","1","1","1","0","0","0.553121212121212","0.853121212121212","92","","LPC(20:4)+HCO2","0.7421239","0.7421239","0.0000000","0.7421239","0.7421239","0.7421239","0.7421239","0.7421239","0","0.0000000","0.553121212121212","0.853121212121212","92","","LPC(20:4)+HCO2","1","1","0","1","1","1","1","1","0","0","0.553121212121212","0.853121212121212","92","","LPC(20:4)+HCO2"," 10043.710"," 386354.50","    0.0000"," 7037.2500"," 18835.8300"," 2097.6260"," 1064.3820"," 206484.200","0","   0.0000","0.553121212121212","0.853121212121212","92","","LPC(20:4)+HCO2","588.3312","528.3096","  0.0000","242.0800","224.0694","168.0430","152.9958","303.2330","0"," 0.00000","0.553121212121212","0.853121212121212","92","","LPC(20:4)+HCO2","588.3307","528.3096","457.2361","242.0799","224.0693","168.0431","152.9958","303.232955","96.9696","78.9591","0.553121212121212","0.853121212121212","92"
"","LPC(20:4)+HCO2","1","1","0","1","1","1","1","1","0","0","0.725137037037037","1.02513703703704","786","","LPC(20:4)+HCO2","0.7421239","0.7421239","0.0000000","0.7421239","0.7421239","0.7421239","0.7421239","0.7421239","0","0.0000000","0.725137037037037","1.02513703703704","786","","LPC(20:4)+HCO2","1","1","0","1","1","1","1","1","0","0","0.725137037037037","1.02513703703704","786","","LPC(20:4)+HCO2"," 10043.710"," 386354.50","    0.0000"," 7037.2500"," 18835.8300"," 2097.6260"," 1064.3820"," 206484.200","0","   0.0000","0.725137037037037","1.02513703703704","786","","LPC(20:4)+HCO2","588.3312","528.3096","  0.0000","242.0800","224.0694","168.0430","152.9958","303.2330","0"," 0.00000","0.725137037037037","1.02513703703704","786","","LPC(20:4)+HCO2","588.3307","528.3096","457.2361","242.0799","224.0693","168.0431","152.9958","303.232955","96.9696","78.9591","0.725137037037037","1.02513703703704","786"
"","LPC(20:5)+HCO2","0","1","0","0","0","0","0","1","0","0","0.41939696969697","0.71939696969697","1954","","LPC(20:5)+HCO2","0.0000000","0.6243845","0.0000000","0.0000000","0.6243845","0.0000000","0.0000000","0.6243845","0","0.0000000","0.41939696969697","0.71939696969697","1954","","LPC(20:5)+HCO2","0","1","0","0","1","0","0","1","0","0","0.41939696969697","0.71939696969697","1954","","LPC(20:5)+HCO2","     0.000","  11855.76","    0.0000","    0.0000","   420.4910","    0.0000","    0.0000","   6860.705","0","   0.0000","0.41939696969697","0.71939696969697","1954","","LPC(20:5)+HCO2","  0.0000","526.2941","  0.0000","  0.0000","224.0697","  0.0000","  0.0000","301.2174","0"," 0.00000","0.41939696969697","0.71939696969697","1954","","LPC(20:5)+HCO2","586.31505","526.29395","455.22045","242.0799","224.0693","168.0431","152.9958","301.217305","96.9696","78.9591","0.41939696969697","0.71939696969697","1954"
"","LPC(22:6)+HCO2","1","1","0","1","1","0","0","1","0","0","0.50565","0.80565","241","","LPC(22:6)+HCO2","0.6834300","0.6834300","0.0000000","0.6834300","0.6834300","0.0000000","0.0000000","0.6834300","0","0.0000000","0.50565","0.80565","241","","LPC(22:6)+HCO2","1","1","0","1","1","0","0","1","0","0","0.50565","0.80565","241","","LPC(22:6)+HCO2","  2429.703"," 102689.40","    0.0000"," 1822.3960","  7605.4550","    0.0000","    0.0000","  47350.770","0","   0.0000","0.50565","0.80565","241","","LPC(22:6)+HCO2","612.3316","552.3099","  0.0000","242.0798","224.0693","  0.0000","  0.0000","327.2330","0"," 0.00000","0.50565","0.80565","241","","LPC(22:6)+HCO2","612.3307","552.3096","481.2361","242.0799","224.0693","168.0431","152.9958","327.232955","96.9696","78.9591","0.50565","0.80565","241"
