"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-LPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_Choline&H2O&Formate","R1_Alkenyl","GlyceroPC_NLCH3&H2O","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-LPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_Choline&H2O&Formate","R1_Alkenyl","GlyceroPC_NLCH3&H2O","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-LPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_Choline&H2O&Formate","R1_Alkenyl","GlyceroPC_NLCH3&H2O","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-LPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_Choline&H2O&Formate","R1_Alkenyl","GlyceroPC_NLCH3&H2O","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","Plasmenyl-LPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_Choline&H2O&Formate","R1_Alkenyl","GlyceroPC_NLCH3&H2O","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-LPC","[M+HCO2]-","NL_CH3&HCO2","NL_Choline&HCO2","NL_Choline&H2O&Formate","R1_Alkenyl","GlyceroPC_NLCH3&H2O","PC_NLCH3","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","Plasmenyl-LPC(P-16:0)+HCO2","1","1","0","0","0","1","0","0","0","0","0.917055","1.217055","261","","Plasmenyl-LPC(P-16:0)+HCO2","1.094508","1.094508","0","1.094508","1.094508","1.094508","1.094508","0","0","0","0.917055","1.217055","261","","Plasmenyl-LPC(P-16:0)+HCO2","1","1","0","1","1","1","1","0","0","0","0.917055","1.217055","261","","Plasmenyl-LPC(P-16:0)+HCO2","5757.331","136253.1","0","770.4176","545.6119","2846.133","516.0288","0","0","0","0.917055","1.217055","261","","Plasmenyl-LPC(P-16:0)+HCO2","524.3358","464.3146","0","375.2304","239.2379","224.0693","168.0432","0","0","0","0.917055","1.217055","261","","Plasmenyl-LPC(P-16:0)+HCO2","524.3358","464.31466","393.24116","375.2306","239.238","224.06881","168.04314","152.99586","96.96964","78.95852","0.917055","1.217055","261"
"","Plasmenyl-LPC(P-18:0)+HCO2","1","1","0","0","0","0","0","0","0","0","1.0222803030303","1.3222803030303","338","","Plasmenyl-LPC(P-18:0)+HCO2","1.195901","1.195901","0","0.000000","0.000000","0.000000","0.000000","0","0","0","1.0222803030303","1.3222803030303","338","","Plasmenyl-LPC(P-18:0)+HCO2","1","1","0","0","0","0","0","0","0","0","1.0222803030303","1.3222803030303","338","","Plasmenyl-LPC(P-18:0)+HCO2","4878.419","106711.6","0","  0.0000","  0.0000","   0.000","  0.0000","0","0","0","1.0222803030303","1.3222803030303","338","","Plasmenyl-LPC(P-18:0)+HCO2","552.3676","492.3463","0","  0.0000","  0.0000","  0.0000","  0.0000","0","0","0","1.0222803030303","1.3222803030303","338","","Plasmenyl-LPC(P-18:0)+HCO2","552.3671","492.34596","421.27246","403.2619","267.2693","224.06881","168.04314","152.99586","96.96964","78.95852","1.0222803030303","1.3222803030303","338"
