"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M-H]-","M-H_Nlglycerol","NL_T1Ketene","NL_T2Ketene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Glycerol","NL_T2Ketene&Glycerol","NL_T1RCOOH&Glycerol","NL_T2RCOOH&Glycerol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","Glycerophosphoglycerol","Glycerophosphoglycerol_NLH2O","Glycerophosphoglycerol_NL2H2O","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M-H]-","M-H_Nlglycerol","NL_T1Ketene","NL_T2Ketene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Glycerol","NL_T2Ketene&Glycerol","NL_T1RCOOH&Glycerol","NL_T2RCOOH&Glycerol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","Glycerophosphoglycerol","Glycerophosphoglycerol_NLH2O","Glycerophosphoglycerol_NL2H2O","RT_min","RT_max","Comment","Number of Scans","PG","[M-H]-","M-H_Nlglycerol","NL_T1Ketene","NL_T2Ketene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Glycerol","NL_T2Ketene&Glycerol","NL_T1RCOOH&Glycerol","NL_T2RCOOH&Glycerol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","Glycerophosphoglycerol","Glycerophosphoglycerol_NLH2O","Glycerophosphoglycerol_NL2H2O","RT_min","RT_max","Comment","Max Intensity","PG","[M-H]-","M-H_Nlglycerol","NL_T1Ketene","NL_T2Ketene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Glycerol","NL_T2Ketene&Glycerol","NL_T1RCOOH&Glycerol","NL_T2RCOOH&Glycerol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","Glycerophosphoglycerol","Glycerophosphoglycerol_NLH2O","Glycerophosphoglycerol_NL2H2O","RT_min","RT_max","Comment","Average m/z","PG","[M-H]-","M-H_Nlglycerol","NL_T1Ketene","NL_T2Ketene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Glycerol","NL_T2Ketene&Glycerol","NL_T1RCOOH&Glycerol","NL_T2RCOOH&Glycerol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","Glycerophosphoglycerol","Glycerophosphoglycerol_NLH2O","Glycerophosphoglycerol_NL2H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M-H]-","M-H_Nlglycerol","NL_T1Ketene","NL_T2Ketene","NL_T1RCOOH","NL_T2RCOOH","NL_T1Ketene&Glycerol","NL_T2Ketene&Glycerol","NL_T1RCOOH&Glycerol","NL_T2RCOOH&Glycerol","T1_RCOO-","T2_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","Glycerophosphoglycerol","Glycerophosphoglycerol_NLH2O","Glycerophosphoglycerol_NL2H2O","RT_min","RT_max","Comment"
"","PG(14:0_14:0)-H","1","0","1","1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","3.95682424242424","4.25682424242424","58","","PG(14:0_14:0)-H","4.134570","4.13457","4.134570","4.134570","4.134570","4.134570","4.13457","4.13457","4.134570","4.134570","4.134570","4.134570","4.134570","0","0","0","0","0","3.95682424242424","4.25682424242424","58","","PG(14:0_14:0)-H","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","3.95682424242424","4.25682424242424","58","","PG(14:0_14:0)-H","1244985.0","736.6568","41548.06","41548.06","44104.32","44104.32","789.1239","789.1239","71481.36","71481.36","1198738.0","1198738.0","73821.59","0","0","0","0","0","3.95682424242424","4.25682424242424","58","","PG(14:0_14:0)-H","665.4405","591.403","455.2419","455.2419","437.2311","437.2311","381.205","381.205","363.1944","363.1944","227.2017","227.2017","152.9958","0","0","0","0","0","3.95682424242424","4.25682424242424","58","","PG(14:0_14:0)-H","665.43996","591.40318","455.24159","455.24159","437.23103","437.23103","381.20481","381.20481","363.19425","363.19425","227.20165","227.20165","152.99586","96.96964","78.95852","245.04211","227.03153","209.02095","3.95682424242424","4.25682424242424","58"
"","PG(17:0_17:0)-H","1","0","1","1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","7.63307575757576","7.93307575757576","265","","PG(17:0_17:0)-H","7.780799","0.00000","7.780799","7.780799","7.780799","7.780799","0.00000","0.00000","7.780799","7.780799","7.780799","7.780799","7.780799","0","0","0","0","0","7.63307575757576","7.93307575757576","265","","PG(17:0_17:0)-H","1","0","1","1","1","1","0","0","1","1","1","1","1","0","0","0","0","0","7.63307575757576","7.93307575757576","265","","PG(17:0_17:0)-H"," 519814.7","  0.0000","17555.17","17555.17","14489.35","14489.35","  0.0000","  0.0000","23737.11","23737.11"," 533579.6"," 533579.6","37805.68","0","0","0","0","0","7.63307575757576","7.93307575757576","265","","PG(17:0_17:0)-H","749.5348","  0.000","497.2891","497.2891","479.2787","479.2787","  0.000","  0.000","405.2415","405.2415","269.2488","269.2488","152.9959","0","0","0","0","0","7.63307575757576","7.93307575757576","265","","PG(17:0_17:0)-H","749.53396","675.49718","497.28859","497.28859","479.27803","479.27803","423.25181","423.25181","405.24125","405.24125","269.24865","269.24865","152.99586","96.96964","78.95852","245.04211","227.03153","209.02095","7.63307575757576","7.93307575757576","265"
